Number,Name,RA 1900 (Hour) ,RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate
1,Sigma Andromedae,0,13,36,14,35,44,4.5,A2,0.08,0.012,0.008,0.022
2,Delta Piscium,0,43,7,2,6,107,4.5,K5,0.09,0.012,7,20
3,Epsilon Piscium,0,58,7,21,7,153,4.5,G5,0.08,0.023,8,23
4,Mu Cassiopeiae,1,2,54,26,54,223,5.3,G5,3.75,0.143,9,23
5,Omicron  Piscium,1,40,8,39,8,273,4.5,G5,0.09,0.012,6,18
6,Beta Arietis,1,49,20,19,20,306,2.7,A5,0.15,0.072,8,19
7,39 Arietis,2,42,28,50,28,462,4.6,K,0.18,0.022,6,16
8,37 Tauri,3,59,21,49,21,585,4.5,K,0.11,-0.022,9,24
9,50 Persei,4,2,37,47,37,882,5.6,F,0.26,0.043,8,22
10,Mu Geminorum,6,17,22,34,22,1304,3.2,Ma,0.13,0.03,8,20
11,Epsilon Geminorum,6,38,25,14,25,1406,3.2,G5,0.02,0.008,8,24
12,Alcor,13,21,55,31,55,1603,4,A5,0.13,0.035,5,13
13,Gamma Serpentis,15,52,15,59,16,2849,3.9,F8,1.34,0.053,9,22
14,Sigma Coronae (prec),16,11,34,7,34,2750,6.7,,,0.03,9,22
15,Sigma  Coronae (fol),,,,,,,5.8,,,0.052,10,21
,Mean,,,,,,,,F5,0.3,0.042,7,
16,Gamma Herculis,16,18,19,23,19,3086,3.8,Fo,,0.012,8,21
17,Lambda Ophiuchi,16,26,2,12,2,3118,3.9,A,0.1,-0.01,8,18
18,29 Herculis,16,28,11,42,11,3008,4.9,K5,0.2,-0.017,5,10
19,19 Draconis,16,55,65,17,65,1157,4.8,F5,0.25,0.082,8,18
20,Lalande 31132,17,0,47,12,47,2419,6.5,,0.83,0.061,11,28
21,Pi Herculis,17,12,36,55,36,2844,3.4,K2,0.03,0.012,8,21
22,Lalande 31546,17,16,1,32,1,3421,6.9,,0.3,0.039,9,22
23,72 Herculis,17,17,32,36,32,2696,5.4,G,1.06,1.06,9,21
24,Fedorenko 2895,17,25,67,23,67,1014,6.3,K,0.53,0.084,9,26
25,Omega Draconis,17,38,68,48,68,949,4.9,F5,0.33,0.04,8,25
26,Beta Ophiuchi,17,39,4,37,4,3489,2.9,K,0.16,0.018,9,24
27,Xi Draconis,17,52,56,53,56,2033,3.9,K,0.12,0.021,8,24
28,Theta Herculis,17,53,37,16,37,2982,4,K,0.01,-0.005,3,9
29,99 Herculis,18,3,30,33,30,3128,5.2,F8,0.11,0.025,6,14
30,109 Herculis,18,19,21,43,21,3411,3.9,K,0.31,0.006,6,16
31,B.D. +6  3855,18,32,6,36,6,3855,5.4,F,0.15,0.019,8,20
32,Zeta Aquilae,19,1,13,43,13,3899,3,A,0.1,0.036,8,22
33,B.D. +16  3752,19,3,16,42,16,3752,6,F,0.34,0.058,6,17
34,Delta Aquilae,19,20,2,55,2,3879,3.4,F,0.26,0.062,7,18
35,Zeta Cygni,21,9,29,49,29,4348,3.4,K,0.06,0.014,8,21
36,Iota Pegasi,21,17,19,23,19,4691,4.2,K,0.12,0.02,9,25
37,71 Cygni,21,26,46,6,45,3558,5.3,K,0.12,0.04,8,23
38,Epsilon Pegasi,21,39,9,25,9,4891,2.5,K,0.03,-0.022,9,29
39,Xi Cephei (prec),22,1,64,8,63,1802,6.5,,0.23,0.024,9,25
40,Xi Cephei (fol),22,1,64,8,63,1802,4.4,A8,0.23,0.045,12,31
,Mean,,,,,,,,,,0.032,7,
