Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag. ,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
366,22 Andr    ,0,5.1,45,31,45,17,5.1,FO,0.006,0.011,-0.01,0.01,0.025,2.5,14
367,Lal 617    ,0,23.2,9,39,9,47,6,F2,0.031*,0.031,0.029,7,21,3,17
368,Phi Pisc,1,8.3,24,3,23,158,4.6,KO,0.025,-0.032,-0.01,8,23,2.9,15
369,Omega Andr.,1,21.7,44,53,44,307,5,F5,0.346,0.337,0.024,4,13,3,15
370,Piazzi 145    ,1,35.7,25,14,25,276,6.3,F5,0.13,0.106,0.009,10,24,2.5,14
371,Lal 4268    ,2,12.8,1,17,1,410,5.8,F8,0.371,0.4,0.043,10,25,2.6,12
372,Lal 5376    ,2,49.7,26,28,26,484,7.4,G5,0.258*,0.269,0.056,7,20,2.8,14
373,Mayer 120    ,3,28.4,17,30,17,575,6.4,KO,0.091*,0.083,0.021,8,23,3.1,15
374,Lal 7036    ,3,46.4,60,53,60,762,7.8,KO,0.418*,0.385,0.048,8,20,2.7,14
375,Omega Sigma 531,4,0.9,37,49,37,878,7.1,G5,0.183,0.2,0.026,7,22,3,18
376,49 Persei    ,4,1.6,37,28,37,881,6.2,G5,-0.104,-0.105,0.019,7,21,3,15
377,Lal 8248    ,4,20.1,46,38,46,884,6.7,GO,+ .079*,0.082,0.022,9,26,3,15
378,Bradley 671    ,4,52.7,66,41,66,370,6.3,F8,0.075,0.095,0.03,6,18,3.2,16
379,Piazzi 294    ,5,3.3,46,50,46,970,5.6,F5,0.067,0.057,0.024,5,13,2.9,14
380,Lal 11499    ,5,59.3,14,24,14,1136,6.7,F5,+ .097*,0.101,0.003,8,24,2.9,15
381,Lal 11774    ,6,6.6,6,49,6,1155,7.1,GO,+ .180*,0.19,0.017,8,20,2.6,13
382,Lal 13942    ,7,8.4,47,25,47,1419,5.6,GO,0.041,0.037,0.04,8,24,3,15
383,Rho Gemi    ,7,22.7,31,59,32,1562,4.2,FO,0.151,0.158,0.059,9,28,3.1,16
384,Weisse 1029    ,7,38.1,39,49,39,1998,6.8,F8,+ .057*,0.02,0.024,6,18,2.9,15
385,25 Cancri    ,8,20.2,17,23,17,1842,6.2,F2,-0.184,-0.188,0.033,8,20,2.5,14
386,Gr. 1678    ,10,37.7,46,44,46,1657,5.3,FO,-0.277,-0.267,0.015,6,16,2.6,14
387,Sigma 1774    ,13,36.4,51,1,51,1859,6.3,F8,-0.146,-0.136,0.046,10,21,2.2,14
388,Rho Herc    ,17,20.2,37,14,37,2878,4.5,AO,-0.034,0.044,-0.006,9,22,2.5,17
389,Lal 32151    ,17,29.1,63,56,63,1358,7.4,GO,0 .000*,0.008,0.005,10,25,2.6,14
390,Beta 1251    ,17,37.5,16,0,16,3256,5.6,F5,0.001,-0.01,0.026,10,27,2.7,15
391,Beta 1255    ,18,52.1,48,44,48,2793,5.9,F5,-0.053,-0.06,0.014,8,20,2.6,16
392,Beta Sagittae    ,19,36.6,17,15,17,4048,4.4,KO,0.005,-0.005,0.033,8,19,2.3,13
393,Lal 38287    ,19,58,15,20,15,4026,7.2,G5,- .171*,-0.135,0.024,10,22,2.2,14
394,Munich 25146    ,20,30.2,5,47,5,4556,8.7,K2,+ .358*,0.385,0.001,9,22,2.4,15
395,Bradley 2725     ,20,53.2,48,49,48,3249,6,KO,,0.007,0.003,7,19,2.6,15
396,34 Vulpec    ,21,16.6,23,26,23,4294,5.8,A2,0.216,0.239,-0.008,10,27,2.7,17
397,Gr. 3703    ,22,7.3,50,20,50,3602,5.4,KO,0.145,0.123,0.004,8,21,2.7,15
398,14 Andr    ,23,26.4,38,41,38,5023,5.3,KO,0.286,0.278,0.011,7,19,2.6,12
399,27 Pisc    ,23,53.6,-4,7,-4,5996,5.1,K2,-0.054,-0.047,0.045,8,19,2.4,13
400,Omega Sigma 18 (Br),0,37.2,3,37,3,93,7.6,F5,,0.009,0.009,6,19,3,19
401,Mu Pisc    ,1,24.9,5,38,5,194,5.1,A2,0.293,0.278,0.045,10,27,2.8,14
402,1 Arietis    ,1,44.6,21,47,21,243,6.2,F5,-0.0111,-0.015,0.017,6,17,2.8,16
403,1 Arietis    ,1,44.6,21,47,21,243,7.4,A2,-0.0111,-0.009,0.007,9,25,2.8,16
,Mean (Sigma 174),,,,,,,5.9,,,,0.014,5,,,
404,Eta Persei (Br),2,43.4,55,29,55,714,3.9,K0,0.026,0.026,0.021,9,28,3.2,17
405,Kappa Ceti    ,3,14.1,3,0,2,518,5,G5,0.268,0.268,0.112,8,24,3.2,17
406,Sigma 422    ,3,31.7,0,16,0,616,6.2,G8,-0.018,-0.038,0.036,6,18,3.1,17
407,Sigma 422    ,3,31.7,0,16,0,616,6.2,G8,-0.018,-0.022,0.043,10,29,2.9,17
,Mean    ,,,,,,,,,,,0.037,5,,,
408,Pi 3 Orionis    ,4,44.4,6,47,6,762,3.3,F8,0.474,0.45,0.123,7,21,3.2,16
409,i Tauri.,4,45.5,18,40,18,743,5.1,FO,0.086,0.073,0.006,4,14,3.3,15
410,Iota Aurigae    ,4,50.5,33,0,32,855,2.9,K2,0.011,-0.001,0.016,7,23,3.4,17
411,Epsilon Aurigae,4,54.8,43,41,43,1166,Var.,F5p,0.006,-0.01,-0.001,7,25,3.5,17
412,P. M. 572    ,5,23.3,54,35,54,902,7.6,GO,- .129*,-0.145,0.022,7,24,3.3,17
413,Psi 7 Aurigae    ,6,43.7,41,54,41,1536,5,KO,-0.017,-0.022,-0.008,7,24,3.2,15
414,Psi 8 Aurigae    ,6,46.4,38,34,38,1636,6.3,F5,0.031,0.063,-0.006,5,17,3.2,16
415,Rumk 2024    ,6,49.5,40,13,40,1758,8.4,K5,.126*,0.12,0.02,6,18,3,15
416,B.D. + 40  1759,6,49.6,40,12,40,1759,9.5,F5,,-0.017,-0.013,6,19,3,15
417,Lal 13784,7,2.3,15,41,15,1473,7.5,F8,- .060*,-0.078,0.035,8,25,3,15
418,Lal 13791    ,7,2.5,15,41,15,1476,7.4,F8,- .050*,-0.077,0.025,8,25,3,15
,Mean    ,,,,,,,,,,,0.03,6,,,
419,20 1 Lyncis    ,7,14.6,50,20,50,1420,7.3,FO,-0.028,-0.009,-0.003,4,14,3.1,15
420,20 2 Lyncis    ,7,14.6,50,20,50,1420,7.4,FO,-0.009,-0.011,0.004,6,18,3.1,15
,Mean (Sigma 1065),,,,,,,,,,,0.001,3,,,
421,Sigma 1093,7,22.7,50,12,50,1436,8,F5,,0.023,-0.002,6,18,3,15
422,14 Can. Min,7,53.2,2,29,2,1833,5.4,KO,-0.156,-0.153,0.024,8,23,3.1,16
423,Lal 15547    ,7,53.7,21,8,21,1731,8.6,G5,+ .178*,0.198,0.038,8,24,3.1,13
424,Fed 1217    ,7,55.8,68,40,68,518,7.6,F5,- .202*,-0.196,0.015,6,19,3.1,15
425,Groom 1437    ,8,20.6,45,59,46,1398,6.3,GO,-0.03,-0.012,0.04,6,19,3.1,16
426,Lal 16616    ,8,24.6,50,58,51,1431,7.4,GO,- .094*,-0.075,0.014,6,22,3.6,21
427,Iota Cancri,8,40.6,29,8,29,1823,6.6,A5,-0.018,0.029,0.028,8,21,2.6,15
428,Iota Cancri,8,40.6,29,8,29,1824,4.2,G5,-0.018,0.041,0.007,6,20,3.3,17
,Mean (Sigma 1268)     ,,,,,,,,,,,0.15,5,,,
429,Lal 17480    ,8,46.9,8,27,8,2134,6.6,GO,+ .178*,0.181,0.014,7,22,3.2,19
430,Lal 18397    ,9,16.1,40,38,40,2197,7.7,K2,- .347*,-0.34,0.028,5,15,3.1,15
431,h 23 Urs. Maj    ,9,23.7,63,30,63,845,3.8,FO,0.114,0.12,0.028,6,18,3.2,19
432,Lal 20881    ,10,46.1,20,49,21,2247,8.1,F5,- .241*,-0.255,0.021,9,25,2.6,15
433,Groom 1930     ,12,44.3,60,52,61,1320,5.9,F5,+ .096*,0.126,0.034,11,32,2.8,17
434,Lal 25288     ,13,37.3,8,54,9,2798,6.1,F5,- .378*,-0.368,0.032,9,25,2.7,19
435,Lal 26289     ,14,18.1,1,43,1,2920,6.3,GO,+ .201*,0.16,0.061,7,16,2.3,15
436,A 570 (Mean)    ,14,27.9,27,7,27,2388,5.9,A2,-0.07,-0.047,0.006,8,22,2.8,17
437,H 2752 (Br)     ,14,47.8,45,1,45,2228,8,F5,,0.041,-0.034,10,28,2.8,16
