No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
780,38 Ceti,1,9.7,-1,31,-1,162,5.8,F5,0.218,-0.023,-0.04,0.022,7; 24,11.6,21
781,Theta Ceti,1,19,-8,42,-8,244,3.8,K0,0.228,-0.077,-95,0.031,5; 18,11.9,21
782,107 Pisc,1,37.1,19,47,19,279,5.3,G5,0.735,-0.292,-0.333,0.125,9; 30,12.1,19
783,6 Tria,2,6.6,29,29,29,371,5.2,G0,0.088,-0.06,-0.091,-0.001,6; 23,11.8,23
784,7 Taur,3,28.5,24,7,23,473,5.9,A2,0.034,0.02,-0.015,0.002,5; 17,11.2,21
785,Lal 11218,5,51.3,15,44,15,993,7.9,G0,0.271,0.086,0.08,0.002,6; 22,10.6,20
786,Lal 15743,7,58.8,12,34,12,1759,7.9,G5,0.141,0.077,0.102,0.043,5; 15,11.2,18
787,14 Boot,14,9.3,13,26,13,2764,5.5,F8,0.264,-0.257,-0.211,0.014,8; 27,10.3,20
788,Pi 69,14,18.5,8,54,9,2882,5.1,A0,0.069,0.065,-0.022,-0.003,7; 23,11.4,21
789,Lal 26635,14,31.7,-3,51,-3,3648,7.8,G0,0.348,-0.347,-0.248,0.009,7; 22,10.8,19
790,Lal 29330,16,1.2,10,57,11,2910,8.5,G5,0.491,-0.489,-0.482,0.026,7; 21,11,20
791,Lal 31822,17,23,31,10,31,3027,8.1,F8,0.32,-0.308,-0.365,0.019,8; 25,10.6,19
792,Dpt 1949 m,17,25.2,0,59,0,3300,5.3,G5,0.21,-0.121,-0.141,0.052,6; 20,10.7,19
793,Lal 33243,18,1.8,15,34,15,3358,8.5,K0,0.221,-0.019,-0.024,0.025,7; 17,11.2,19
794,Lal 34435,18,28.6,44,57,44,2919,8.1,G0,0.36,-0.117,-0.125,0.017,8; 25,12,21
795,Beta Scut,18,41.9,-4,51,-4,4582,4.5,G0,0.024,-0.007,-0.08,0.011,8; 24,10.8,20
796,Omicron Drac,18,49.7,59,16,59,1925,4.8,K0,0.09,0.087,0.081,0.003,4; 13,11.5,20
797,113 Herc,18,50.5,22,32,22,3524,4.6,G0.,0.004,0.001,0.006,0.012,8; 25,11.4,19
798,Theta Lyra,19,12.9,37,57,37,3398,4.5,K0,0.008,-0.007,0.013,-0.015,7; 24,9.5,20
799,Zeta Dlph,20,30.6,14,20,14,4353,4.7,A2,0.042,0.042,0.046,0.007,5; 17,10.8,17
800,71 Agil,20,33.2,-1,27,-1,4016,4.5,K0,0.03,0.015,0.014,-0.004,7; 21,10.6,19
801,Delta Dlph,20,38.8,14,43,14,4403,4.5,A5,0.056,-0.019,-0.028,0.003,6; 20,10.2,20
802,30 Vulp,20,40.6,24,55,24,4229,5.1,K2,0.186,-0.031,-0.035,0.004,5; 16,11.2,19
803,77 Cygn,21,38.4,40,38,40,4615,5.5,A0,0.019,0.019,-0.037,-0.005,6; 21,9.5,21
