Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate
1,Sigma Andromedae,0,13,36,14,00h18m14.1243s,+36d47m19.9256s,35,44,4.5,A2,0.08,0.012,0.008,0.022
2,Delta Piscium,0,43,7,2,00h48m10.7732s,+07d34m45.0455s,6,107,4.5,K5,0.09,0.012,7.0,20.0
3,Epsilon Piscium,0,58,7,21,01h03m12.059s,+07d53m14.9045s,7,153,4.5,G5,0.08,0.023,8.0,23.0
4,Mu Cassiopeiae,1,2,54,26,01h08m00.2082s,+54d58m04.4907s,54,223,5.3,G5,3.75,0.143,9.0,23.0
5,Omicron  Piscium,1,40,8,39,01h45m16.4502s,+09d09m06.8914s,8,273,4.5,G5,0.09,0.012,6.0,18.0
6,Beta Arietis,1,49,20,19,01h54m30.8763s,+20d48m30.9278s,20,306,2.7,A5,0.15,0.072,8.0,19.0
7,39 Arietis,2,42,28,50,02h47m56.3088s,+29d15m07.2932s,28,462,4.6,K,0.18,0.022,6.0,16.0
8,37 Tauri,3,59,21,49,04h04m54.2667s,+22d05m27.4542s,21,585,4.5,K,0.11,-0.022,9.0,24.0
9,50 Persei,4,2,37,47,04h08m38.7245s,+38d03m01.6966s,37,882,5.6,F,0.26,0.043,8.0,22.0
10,Mu Geminorum,6,17,22,34,06h23m02.6466s,+22d31m05.0737s,22,1304,3.2,Ma,0.13,0.03,8.0,20.0
11,Epsilon Geminorum,6,38,25,14,06h44m09.2199s,+25d08m02.6116s,25,1406,3.2,G5,0.02,0.008,8.0,24.0
12,Alcor,13,21,55,31,13h24m59.1237s,+54d59m45.4245s,55,1603,4,A5,0.13,0.035,5.0,13.0
13,Gamma Serpentis,15,52,15,59,15h56m35.036s,+15d41m34.8003s,16,2849,3.9,F8,1.34,0.053,9.0,22.0
14,Sigma Coronae (prec),16,11,34,7,16h14m46.9382s,+33d51m56.9018s,34,2750,6.7,,,0.03,9.0,22.0
15,Sigma  Coronae (fol),,,,,0,0,,,5.8,,,0.052,10.0,21.0
,Mean,,,,,0,0,,,,F5,0.3,0.042,7.0,
16,Gamma Herculis,16,18,19,23,16h22m25.0346s,+19d08m54.4955s,19,3086,3.8,Fo,,0.012,8.0,21.0
17,Lambda Ophiuchi,16,26,2,12,16h31m02.8895s,+01d59m00.9849s,2,3118,3.9,A,0.1,-0.01,8.0,18.0
18,29 Herculis,16,28,11,42,16h32m42.0406s,+11d29m15.7273s,11,3008,4.9,K5,0.2,-0.017,5.0,10.0
19,19 Draconis,16,55,65,17,16h55m29.5536s,+65d07m41.1173s,65,1157,4.8,F5,0.25,0.082,8.0,18.0
20,Lalande 31132,17,0,47,12,17h02m48.1038s,+47d03m33.0325s,47,2419,6.5,,0.83,0.061,11.0,28.0
21,Pi Herculis,17,12,36,55,17h15m29.2237s,+36d48m18.169s,36,2844,3.4,K2,0.03,0.012,8.0,21.0
22,Lalande 31546,17,16,1,32,17h21m03.9831s,+01d25m59.2997s,1,3421,6.9,,0.3,0.039,9.0,22.0
23,72 Herculis,17,17,32,36,17h20m43.4543s,+32d30m02.1285s,32,2696,5.4,G,1.06,1.06,9.0,21.0
24,Fedorenko 2895,17,25,67,23,17h24m51.0036s,+67d17m54.4075s,67,1014,6.3,K,0.53,0.084,9.0,26.0
25,Omega Draconis,17,38,68,48,17h37m24.9421s,+68d44m45.3313s,68,949,4.9,F5,0.33,0.04,8.0,25.0
26,Beta Ophiuchi,17,39,4,37,17h43m56.6833s,+04d34m18.1426s,4,3489,2.9,K,0.16,0.018,9.0,24.0
27,Xi Draconis,17,52,56,53,17h53m42.6797s,+56d51m57.5409s,56,2033,3.9,K,0.12,0.021,8.0,24.0
28,Theta Herculis,17,53,37,16,17h56m25.7541s,+37d15m13.796s,37,2982,4,K,0.01,-0.005,3.0,9.0
29,99 Herculis,18,3,30,33,18h06m48.5093s,+30d33m42.9147s,30,3128,5.2,F8,0.11,0.025,6.0,14.0
30,109 Herculis,18,19,21,43,18h23m14.3172s,+21d46m04.485s,21,3411,3.9,K,0.31,0.006,6.0,16.0
31,B.D. +6  3855,18,32,6,36,18h36m52.0012s,+06d41m00.0678s,6,3855,5.4,F,0.15,0.019,8.0,20.0
32,Zeta Aquilae,19,1,13,43,19h05m35.8237s,+13d52m06.662s,13,3899,3,A,0.1,0.036,8.0,22.0
33,B.D. +16  3752,19,3,16,42,19h07m28.7159s,+16d51m22.9743s,16,3752,6,F,0.34,0.058,6.0,17.0
34,Delta Aquilae,19,20,2,55,19h25m00.8s,+03d06m46.1932s,2,3879,3.4,F,0.26,0.062,7.0,18.0
35,Zeta Cygni,21,9,29,49,21h13m15.4943s,+30d13m44.6079s,29,4348,3.4,K,0.06,0.014,8.0,21.0
36,Iota Pegasi,21,17,19,23,21h21m36.6955s,+19d48m31.7071s,19,4691,4.2,K,0.12,0.02,9.0,25.0
37,71 Cygni,21,26,46,6,21h29m41.1568s,+46d32m18.8103s,45,3558,5.3,K,0.12,0.04,8.0,23.0
38,Epsilon Pegasi,21,39,9,25,21h43m54.4777s,+09d52m29.3336s,9,4891,2.5,K,0.03,-0.022,9.0,29.0
39,Xi Cephei (prec),22,1,64,8,22h03m50.6334s,+64d37m06.5473s,63,1802,6.5,,0.23,0.024,9.0,25.0
40,Xi Cephei (fol),22,1,64,8,22h03m50.6334s,+64d37m06.5473s,63,1802,4.4,A8,0.23,0.045,12.0,31.0
,Mean,,,,,0,0,,,,,,0.032,7.0,
41,Pi Pegasi,22,6,32,41,22h10m26.8285s,+33d10m30.8712s,32,4652,4.4,F5,0.03,0,7.0,24.0
42,Zeta Cephei,22,7,57,42,22h10m27.7952s,+58d11m32.9588s,57,2475,3.6,K,0.03,0.023,9.0,27.0
43,Iota Lacertae,22,12,37,15,22h16m21.7061s,+37d44m54.6876s,37,4526,4.2,K,0.02,0,10.0,20.0
44,3 Lacertae,22,20,51,44,22h23m56.469s,+52d14m24.0006s,51,3358,4.6,K,0.19,0.012,8.0,23.0
45,35 Pegasi,22,23,4,12,22h28m03.2155s,+04d42m36.6767s,3,4710,4.9,K,0.33,0.028,7.0,19.0
46,7 Lacertae,22,27,49,46,22h31m05.7785s,+50d16m48.8033s,49,3875,3.9,A,0.14,0.039,9.0,26.0
47,Eta Pegasi,22,38,29,42,22h42m41.1476s,+30d13m24.7223s,29,4741,3.1,G,0.04,-0.002,13.0,37.0
48,2 Andromedae,22,58,42,13,23h02m35.8639s,+42d45m16.958s,41,4665,5.1,A2,0.06,0.05,8.0,20.0
49,Kappa Piscium,23,22,0,42,23h27m07.0367s,+01d15m00.6621s,0,4998,4.9,A2,0.12,0.038,11.0,26.0
50,Omega Piscium,23,54,6,19,23h59m07.1552s,+06d52m24.3541s,6,5227,4,F5,0.19,-0.002,9.0,17.0
51,Lambda Aurigae,5,12,40,1,05h18m57.6904s,+40d07m26.9336s,39,1248,4.8,G0,0.84,0.062,0.007,0.019
52,Omicron Aurigae,5,38,49,47,05h45m45.0647s,+49d49m38.3448s,49,1398,5.5,A0,0.009,0.012,7.0,20.0
53,4 Geminorum,6,4,23,1,06h10m04.1093s,+22d59m58.4613s,23,1232,6.7,B9,0.014,0,7.0,20.0
54,Omicron Sigma 149,6,30,27,21,06h36m15.673s,+27d16m11.2023s,27,1164,6.9,G0,0.6,0.021,4.0,10.0
55,Xi Geminorum,6,40,13,0,06h45m37.5785s,+12d53m47.6789s,13,1396,3.4,F5,0.23,0.055,8.0,23.0
56,18 Monocerotis,6,43,2,31,06h48m13.0188s,+02d24m23.6829s,2,1397,4.7,K0,0.03,0.019,10.0,25.0
57,Tau Geminorum,7,5,30,25,07h11m22.1538s,+30d15m12.3463s,30,1439,4.5,K0,0.05,0.005,10.0,25.0
58,Delta Geminorum,7,14,22,10,07h19m58.5548s,+21d58m59.1819s,22,1645,3.5,F0,0.02,0.055,7.0,19.0
59,6 Canis Minoris,7,24,12,13,07h29m34.0383s,+12d00m38.9203s,12,1567,4.8,K0,0.02,0.019,8.0,19.0
60,Nu Geminorum,7,30,27,7,07h36m09.9581s,+26d53m48.0103s,27,1424,4.2,K5,0.12,0.01,10.0,25.0
61,Sigma Geminorum,7,37,29,8,07h43m14.5503s,+28d53m51.8392s,29,1590,4.3,K0,0.24,0.015,6.0,13.0
62,Kappa Geminorum,7,30,24,38,07h36m03.4016s,+24d24m48.4497s,24,1759,3.7,G5,0.06,0.025,7.0,20.0
63,13 Canis Minoris,7,57,2,37,08h02m12.4003s,+02d20m20.6915s,2,1854,4.5,K0,0.1,-0.017,7.0,20.0
64,27 Lyncis,8,1,51,48,08h08m31.9127s,+51d30m41.7894s,51,1391,4.9,A2,0.05,0.025,11.0,32.0
65,31 Lyncis,8,16,43,30,08h22m50.876s,+43d10m54.3191s,43,1815,4.4,K0,0.11,0.025,7.0,22.0
66,Sigma Hydrae,8,34,3,42,08h39m13.7693s,+03d20m54.2801s,3,2026,4.5,K5,0.02,0.014,12.0,32.0
67,Gamma Cancri,8,38,21,50,08h43m47.8959s,+21d28m25.4425s,21,1895,4.7,A0,0.11,0.006,6.0,15.0
68,Delta Cancri,8,39,18,31,08h44m41.0851s,+18d09m19.1548s,18,2027,4.2,K0,0.24,-0.012,12.0,32.0
69,Theta Hydrae,9,9,2,44,09h14m11.3408s,+02d19m12.6626s,2,2167,3.8,A0,0.34,0.012,7.0,20.0
70,Kappa Leonis,9,19,26,37,09h24m49.6063s,+26d11m13.6784s,26,1939,4.6,K0,0.06,-0.009,5.0,15.0
71,Sigma 2725 (brighter),20,42,15,32,20h46m39.0412s,+15d53m57.2919s,15,4251,7.3,,0.12,0.025,9.0,22.0
72,Sigma 2725 (fainter),20,42,15,32,20h46m39.0412s,+15d53m57.2919s,15,4251,8,,0.1,-0.002,11.0,28.0
,Mean,,,,,0,0,,,,,,0.014,7.0,
73,Xi Cygni,21,1,43,32,21h04m38.0993s,+43d55m54.7982s,43,3800,3.9,K5,0.11,-0.008,6.0,16.0
74,Tau Cygni,21,11,37,37,21h14m58.296s,+38d01m55.4732s,37,4240,3.8,F0,0.45,0.058,10.0,29.0
75,Iota Pegasi,22,2,24,51,22h06m37.1204s,+25d20m14.5698s,24,4533,4,F5,0.3,0.067,8.0,26.0
76,Epsilon Cephei,22,11,56,33,22h14m35.31s,+57d02m49.2594s,56,2741,4.2,A5,0.45,0.027,11.0,27.0
77,5 Lacertae,22,25,47,12,22h29m09.9556s,+47d42m42.0913s,46,3719,4.6,K0,0.02,0,8.0,25.0
78,Mu Pegasi,22,45,24,4,22h49m48.565s,+24d35m44.8618s,23,4615,3.7,K0,0.16,0.043,6.0,18.0
79,Beta 382,22,49,44,13,22h53m28.5983s,+44d44m55.0403s,43,4331,5.6,A0,0.013,0.013,12.0,31.0
80,Phi Pegasi,23,47,18,34,23h52m05.3074s,+19d07m22.4949s,18,5231,5.2,Ma,0.05,0.009,8.0,19.0
81,Rho Cassiopeiae,23,49,56,57,23h53m59.6894s,+57d30m23.2011s,56,3111,4.8,F8p,0.004,0.013,11.0,26.0
82,Alpha Arietis,2,2,22,59,02h07m37.0918s,+23d27m34.5978s,22,306,2.2,K2,0.24,0.029,0.006,0.017
83,6 Persei,2,7,50,36,02h13m35.7181s,+51d04m09.2458s,50,481,5.4,G5,0.39,7,7.0,22.0
84,73 Ceti,2,23,8,1,02h28m18.8765s,+08d27m53.1678s,7,388,4.3,A0,0.04,17,9.0,26.0
85,86 Gamma Ceti,2,38,2,49,02h43m11.9475s,+03d14m32.2119s,2,422,3.6,A0,0.21,14,8.0,20.0
86,87 Mu Ceti,2,40,9,42,02h45m22.6055s,+10d07m20.3681s,9,359,4.4,A5,0.29,28,7.0,20.0
87,17 Persei,2,45,34,39,02h51m09.694s,+35d03m49.2145s,34,527,4,K5,0.08,5,10.0,28.0
88,27 Kappa Persei,3,3,44,29,03h09m43.3757s,+44d51m57.5647s,44,631,4.7,K0,0.24,32,7.0,19.0
89,B. D. + 33  619,3,12,33,51,03h18m15.2778s,+34d13m00.8672s,33,619,4.9,K0,0.015,7,6.0,17.0
90,35 Sigma Persei,3,24,47,39,03h31m03.4306s,+47d59m37.3888s,47,843,4.6,K0,0.021,8,8.0,22.0
91,74 Epsilon Tauri,4,23,18,58,04h28m49.7658s,+19d11m19.9945s,18,640,3.6,K0,0.12,23,10.0,30.0
92,32 Nu Aurigae,5,45,39,7,05h51m55.9746s,+39d08m40.8168s,39,1429,4.2,K0,0.007,17,7.0,21.0
93,Iota Geminorum,5,58,23,16,06h04m04.8452s,+23d15m50.8783s,23,1170,4.3,G5,0.11,20,9.0,27.0
94,8 Monocerotis,6,18,4,39,06h23m18.1541s,+04d35m59.592s,4,1236,4.5,A5,0.009,16,6.0,19.0
95,43 Zeta Geminorum,7,58,20,43,08h03m50.7333s,+20d26m10.7024s,20,1687,var.,G0,0.007,-5,10.0,25.0
96,54 Lambda Geminorum,7,12,16,43,07h17m45.1849s,+16d32m16.6458s,16,1443,3.6,A2,0.07,33,9.0,24.0
97,6o Iota Geminorum,7,20,28,0,07h26m13.5467s,+27d48m08.8448s,28,1385,3.9,K0,0.14,35,8.0,25.0
98,17 Beta Cancri,8,11,9,30,08h16m25.7441s,+09d11m35.6568s,9,1917,3.8,K2,0.07,-3,9.0,26.0
99,5 Beta Virginis,11,45,2,20,11h50m07.6471s,+01d46m38.3697s,2,2489,3.8,F8,0.79,96,6.0,15.0
100,67 Ursae Majoris,11,57,43,36,12h02m07.6256s,+43d02m35.424s,43,2179,5.1,A3,0.32,8,7.0,20.0
101,42 Comae,13,5,18,3,13h09m54.9511s,+17d31m01.635s,18,2697,4.5,F5,0.45,64,14.0,31.0
102,8 Gamma Coronae,15,39,26,37,15h43m12.7227s,+26d17m58.1678s,26,2722,3.9,A0,0.1,24,10.0,25.0
103,16 Tau Coronae,16,5,36,45,16h08m39.9351s,+36d29m09.9137s,36,2699,4.9,G2,0.32,21,10.0,21.0
104,19 Xi Coronae,16,18,31,7,16h21m54.6207s,+30d52m52.4841s,31,2845,4.7,G5,0.13,9,8.0,19.0
105,B. D. + 31  2873,16,33,31,9,16h36m52.4104s,+30d56m52.9613s,31,2873,7.3,F8,0.48,7,9.0,22.0
106,40 Zeta Herculis,16,38,31,47,16h41m49.8733s,+31d35m33.7129s,31,2884,3,G0,0.7,114,12.0,32.0
107,B. D. + 0  3593,16,48,0,11,16h53m07.1638s,+00d01m01.8986s,0,3593,6.8,G5,1.66,79,11.0,27.0
108,65 Delta Herculis,17,11,24,57,17h15m06.6686s,+24d50m12.2771s,25,3221,3.2,A0,0.16,29,7.0,19.0
109,68 u Herculis,17,14,33,12,17h17m41.7273s,+33d05m36.2176s,33,2864,var.,B3,0.021,-23,10.0,28.0
110,26 Draconis,17,34,61,57,17h34m58.4482s,+61d53m17.3194s,61,1678,5.3,F0,0.57,46,9.0,27.0
111,84 Herculis,17,39,24,22,17h43m07.1299s,+24d19m14.5424s,24,3237,5.7,F0,0.13,1,9.0,24.0
112,86 µ Herculis,17,43,27,47,17h46m57.1818s,+27d44m48.7096s,27,2888,3.5,G5,0.82,104,8.0,24.0
113,30 Draconis,17,47,50,48,17h49m23.8282s,+50d46m16.8421s,50,2468,5.2,A0,0.21,-12,7.0,19.0
114,33 Gamma Draconis,17,54,51,30,17h56m19.4506s,+51d29m17.7085s,51,2282,2.4,K5,0.026,11,8.0,22.0
115,B. D. + 4  3589,18,1,4,39,18h05m56.5086s,+04d39m30.3797s,4,3589,6.8,G0,0.3,48,9.0,28.0
116,72 Ophiuchi,18,3,9,33,18h07m44.894s,+09d33m47.0233s,9,3564,3.7,A2,0.1,32,8.0,22.0
117,110 Herculis,18,41,20,27,18h45m18.2988s,+20d33m15.2375s,20,3926,4.3,F5,0.34,40,11.0,28.0
118,13 Theta Cygni,19,34,49,59,19h36m41.2098s,+50d12m30.123s,49,3062,4.6,F5,0.25,57,8.0,19.0
119,Beta 658,19,40,26,54,19h44m05.8811s,+27d08m23.4081s,26,3654,6.5,K0,0.06,-15,9.0,26.0
120,15 Cygni,19,41,37,7,19h44m35.8596s,+37d21m29.325s,37,3586,5,K0,0.08,15,9.0,24.0
121,37 Gamma Cygni,20,19,39,56,20h22m35.4489s,+40d15m15.502s,39,4159,2.3,F8p,0.006,-22,8.0,22.0
122,58 Nu Cygni,20,53,40,47,20h56m43.4934s,+41d10m05.3515s,40,4364,4,A0,0.027,-5,8.0,22.0
123,46 Xi Pegasi,22,42,11,40,22h46m58.2512s,+12d11m36.754s,11,4875,4.3,F5,0.55,44,9.0,24.0
124,47 Lambda Pegasi,22,42,23,2,22h46m48.7492s,+23d33m36.5302s,22,4709,4.1,K0,0.06,32,11.0,28.0
125,3 Andromedae,23,0,49,30,23h04m27.9915s,+50d02m21.2472s,49,4028,4.9,K0,0.23,-9,11.0,29.0
126,7 Andromedae,23,8,48,52,23h12m34.1386s,+49d24m37.607s,48,3964,4.6,F0,0.14,53,13.0,34.0
127,6 Gamma Piscium,23,12,2,44,23h17m06.0043s,+03d16m45.2955s,2,4648,3.8,K0,0.76,18,10.0,26.0
128,62 Tau Pegasi,23,16,23,12,23h20m56.9296s,+23d44m51.7693s,22,4810,4.6,A5,0.048,31,9.0,25.0
129,68 Nu Pegasi,23,20,22,51,23h24m58.0872s,+23d23m57.7865s,22,4833,4.6,G0,0.19,33,9.0,21.0
130,85 Pegasi,23,57,26,33,00h02m07.2581s,+27d06m24.5759s,26,4734,5.8,G0,1.29,84,12.0,32.0
131,Anonymous,0,0,45,14,00h05m08.9166s,+45d47m24.4529s,,,,,0.86,0.099,0.01,0.023
132,Omicron Sigma 547 (prec.),0,0,45,16,00h05m08.9184s,+45d49m24.4529s,45,4408,8.9,K5,,0.092,7.0,16.0
133,Omicron Sigma 547 (fol.),0,0,45,15,00h05m08.9175s,+45d48m24.4529s,,,8.9,K5,,0.121,9.0,23.0
,Mean,,,,,0,0,,,,,0.86,0.103,5.0,
134,Epsilon Andromedae,0,33,28,46,00h38m18.8864s,+29d19m00.3636s,28,103,4.5,G5,0.34,0.033,6.0,19.0
135,Beta Trianguli,2,4,34,31,02h09m56.168s,+34d59m24.7406s,34,381,3.1,A5,0.16,0.006,6.0,18.0
136,54 Chi Orionis,5,48,20,15,05h53m56.6801s,+20d16m18.9201s,20,1162,4.6,F8,0.21,0.096,10.0,29.0
137,B. D. + 13  1036,5,50,13,55,05h55m40.5061s,+13d56m02.6158s,13,1036,6.5,G5,0.48,0.083,8.0,20.0
138,71 Orionis,6,9,19,11,06h14m53.7806s,+19d09m15.5183s,19,1270,5.2,F5,0.22,0.034,7.0,21.0
139,Kappa Aurigae,6,9,29,32,06h15m22.9468s,+29d30m13.3951s,29,1154,4.4,K0,0.27,0.01,8.0,23.0
140,56 Aurigae,6,40,43,41,06h47m12.4882s,+43d34m40.8799s,43,1595,5.3,F5,0.16,0.072,7.0,20.0
141,B. D. + 21  1596,7,21,21,44,07h26m56.8709s,+21d32m01.8093s,21,1596,6.4,F5,0.31,0.035,7.0,22.0
142,10 Ursa Majoris,8,54,42,11,09h00m33.4427s,+41d47m39.4503s,42,1956,4.1,F5,0.5,0.067,6.0,18.0
143,Mu Leonis,9,47,26,29,09h52m42.829s,+26d00m50.0105s,26,2019,4.1,K0,0.23,0.02,9.0,23.0
144,B. D. + 4  3195,16,26,4,26,16h30m58.0749s,+04d13m00.6615s,4,3195,7.3,F6,1.45,0.029,6.0,15.0
145,41 Herculis,16,40,6,17,16h44m53.7126s,+06d05m54.5652s,6,3288,6.7,G5,0.35,0.028,8.0,20.0
146,B. D. + 63  1439,18,34,63,37,18h34m40.5032s,+63d41m59.2532s,63,1439,8.1,G5,0.25,0.023,8.0,19.0
147,B. D + 10  3665,18,44,10,39,18h48m42.6363s,+10d45m42.7184s,10,3665,8,K0,0.46,0.045,11.0,25.0
148,B. D. + 17  3779,18,52,17,59,18h56m25.0521s,+18d06m49.7605s,17,3779,5.7,AO,0.18,0,8.0,21.0
149,Iota Cygni,19,27,51,31,19h29m31.0053s,+51d43m33.0612s,51,2605,3.9,A2,0.13,-0.006,7.0,18.0
150,Omicron1 Cygni,20,10,46,31,20h13m08.4405s,+46d49m08.6532s,46,2881,5,A2,0.021,-0.011,10.0,30.0
151,Omicron2 Cygni,20,10,46,26,20h13m08.7876s,+46d44m08.6743s,46,2882,4,K0,0.006,-0.013,9.0,25.0
152,B. D. + 41  3799,20,29,41,33,20h32m33.103s,+41d53m25.7181s,41,3799,7,G5,0.47,0.021,8.0,21.0
153,B. D. + 57  2240,20,43,57,13,20h45m29.8301s,+57d34m56.8067s,57,2240,4.6,G0,0.24,0.04,5.0,14.0
154,B. D. + 17  4519,21,7,17,21,21h11m38.7336s,+17d45m33.9438s,17,4519,7.3,F5,0.91,0.038,4.0,11.0
155,B. D. + 45  3561,21,26,45,27,21h29m43.1s,+45d53m18.8972s,45,3561,7.9,G0,0.56,0.02,11.0,29.0
156,Rho Cygni,21,30,45,9,21h33m45.8541s,+45d35m40.3325s,44,3865,4.2,K0,0.1,-0.017,9.0,21.0
157,B. D. + 53  2735,21,51,53,28,21h54m31.4834s,+53d56m23.5296s,53,2735,6.9,F5,0.17,0.009,6.0,18.0
158,B. D. + 56  2727,22,8,56,21,22h11m33.6428s,+56d50m37.2193s,56,2727,5.4,F8,0.27,0.022,7.0,19.0
159,Beta Pegasi,22,59,27,32,23h03m49.5692s,+28d04m19.4442s,27,4480,2.6,Mb,0.23,0.018,10.0,26.0
160,Lambda Andromedae,23,33,45,55,23h37m52.4848s,+46d28m13.0807s,45,4283,4,K0,0.45,0.044,5.0,12.0
161,Chi Pegasi,0,9,19,39,00h14m09.835s,+20d12m22.0194s,19,27,4.9,Ma,0.1,0.01,0.006,0.019
162,Nu Piscium,1,14,26,44,01h19m29.763s,+27d15m33.2221s,26,220,4.7,A2,0.029,0.011,7.0,21.0
163,Gamma Andromedae (prec),1,58,41,51,02h04m08.2311s,+42d19m51.3214s,41,395,2.3,K0,0.07,-0.003,10.0,31.0
164,Gamma Andromedae (fol),1,58,41,51,02h04m08.2311s,+42d19m51.3214s,41,395,5.1,A0,0.07,-0.005,7.0,22.0
,Mean,,,,,0,0,,,,,,-0.004,6.0,
165,16 Persei,2,44,37,54,02h50m17.2316s,+38d18m54.6902s,37,646,4.3,F0,0.22,0.017,8.0,26.0
166,Omicron Tauri,3,19,8,41,03h24m23.4452s,+09d02m17.1136s,8,511,3.8,G5,0.1,0.001,6.0,18.0
167,40 Orionis,5,31,9,14,05h36m29.045s,+09d17m49.1466s,9,898,4.4,K0,0.32,0.034,8.0,22.0
168,B. D. + 5  1168,6,12,5,8,06h17m19.3261s,+05d05m51.8298s,5,1168,5.8,F8,0.28,0.046,8.0,21.0
169,8 Lyncis,6,29,61,34,06h38m11.1479s,+61d29m07.191s,61,893,6,F0,0.019,0.023,9.0,24.0
170,B. D. + 21  1528,7,4,21,25,07h09m57.3754s,+21d15m22.4448s,21,1528,6.5,F8,0.51,0.022,6.0,16.0
