Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
366,22 Andr,0,5.1,45,31,00h10m11.9438s,+46d04m23.477s,45,17,5.1,FO,0.006,0.011,-0.01,0.01,0.025,2.5,14
367,Lal 617,0,23.2,9,39,00h28m09.9926s,+10d12m12.1009s,9,47,6,F2,0.031*,0.031,0.029,7.0,21.0,3.0,17
368,Phi Pisc,1,8.3,24,3,01h13m25.7247s,+24d34m49.9085s,23,158,4.6,KO,0.025,-0.032,-0.01,8.0,23.0,2.9,15
369,Omega Andr.,1,21.7,44,53,01h26m55.5002s,+45d24m11.5507s,44,307,5,F5,0.346,0.337,0.024,4.0,13.0,3.0,15
370,Piazzi 145,1,35.7,25,14,01h40m33.7504s,+25d44m24.8766s,25,276,6.3,F5,0.13,0.106,0.009,10.0,24.0,2.5,14
371,Lal 4268,2,12.8,1,17,02h17m09.3454s,+01d44m48.7873s,1,410,5.8,F8,0.371,0.4,0.043,10.0,25.0,2.6,12
372,Lal 5376,2,49.7,26,28,02h54m53.1559s,+26d52m26.3894s,26,484,7.4,G5,0.258*,0.269,0.056,7.0,20.0,2.8,14
373,Mayer 120,3,28.4,17,30,03h33m41.255s,+17d50m14.4368s,17,575,6.4,KO,0.091*,0.083,0.021,8.0,23.0,3.1,15
374,Lal 7036,3,46.4,60,53,03h54m31.146s,+61d10m55.1616s,60,762,7.8,KO,0.418*,0.385,0.048,8.0,20.0,2.7,14
375,Omega Sigma 531,4,0.9,37,49,04h06m38.4007s,+38d05m17.0292s,37,878,7.1,G5,0.183,0.2,0.026,7.0,22.0,3.0,18
376,49 Persei,4,1.6,37,28,04h07m37.4726s,+37d44m09.4416s,37,881,6.2,G5,-0.104,-0.105,0.019,7.0,21.0,3.0,15
377,Lal 8248,4,20.1,46,38,04h27m17.0652s,+46d51m38.1884s,46,884,6.7,GO,+ .079*,0.082,0.022,9.0,26.0,3.0,15
378,Bradley 671,4,52.7,66,41,05h02m06.9188s,+66d50m03.6538s,66,370,6.3,F8,0.075,0.095,0.03,6.0,18.0,3.2,16
379,Piazzi 294,5,3.3,46,50,05h10m26.3443s,+46d57m41.8259s,46,970,5.6,F5,0.067,0.057,0.024,5.0,13.0,2.9,14
