No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
780,38 Ceti,1,9.7,-1,31,01h14m06.49s,-00d59m12.3352s,-1,162.0,5.8,F5,0.218,-0.023,-0.04,0.022,7; 24,11.6,21
781,Theta Ceti,1,19.0,-8,42,01h24m00.4834s,-08d10m40.857s,-8,244.0,3.8,K0,0.228,-0.077,-95.0,0.031,5; 18,11.9,21
782,107 Pisc,1,37.1,19,47,01h42m27.9325s,+20d17m17.7465s,19,279.0,5.3,G5,0.735,-0.292,-0.333,0.125,9; 30,12.1,19
783,6 Tria,2,6.6,29,29,02h11m48.0665s,+29d57m15.7867s,29,371.0,5.2,G0,0.088,-0.06,-0.091,-0.001,6; 23,11.8,23
784,7 Taur,3,28.5,24,7,03h33m55.3795s,+24d27m13.6185s,23,473.0,5.9,A2,0.034,0.02,-0.015,0.002,5; 17,11.2,21
785,Lal 11218,5,51.3,15,44,05h56m45.0406s,+15d44m53.5424s,15,993.0,7.9,G0,0.271,0.086,0.08,0.002,6; 22,10.6,20
786,Lal 15743,7,58.8,12,34,08h03m32.8395s,+12d17m11.8303s,12,1759.0,7.9,G5,0.141,0.077,0.102,0.043,5; 15,11.2,18
787,14 Boot,14,9.3,13,26,14h13m50.3824s,+12d57m56.0675s,13,2764.0,5.5,F8,0.264,-0.257,-0.211,0.014,8; 27,10.3,20
788,Pi 69,14,18.5,8,54,14h22m55.6615s,+08d26m40.2831s,9,2882.0,5.1,A0,0.069,0.065,-0.022,-0.003,7; 23,11.4,21
789,Lal 26635,14,31.7,-3,51,14h36m13.2913s,-04d17m10.9087s,-3,3648.0,7.8,G0,0.348,-0.347,-0.248,0.009,7; 22,10.8,19
790,Lal 29330,16,1.2,10,57,16h05m45.0935s,+10d40m43.4018s,11,2910.0,8.5,G5,0.491,-0.489,-0.482,0.026,7; 21,11,20
791,Lal 31822,17,23.0,31,10,17h26m47.6378s,+31d04m54.184s,31,3027.0,8.1,F8,0.32,-0.308,-0.365,0.019,8; 25,10.6,19
792,Dpt 1949 m,17,25.2,0,59,17h30m05.2069s,+00d54m17.0815s,0,3300.0,5.3,G5,0.21,-0.121,-0.141,0.052,6; 20,10.7,19
793,Lal 33243,18,1.8,15,34,18h05m30.1517s,+15d34m28.4588s,15,3358.0,8.5,K0,0.221,-0.019,-0.024,0.025,7; 17,11.2,19
794,Lal 34435,18,28.6,44,57,18h30m54.9156s,+45d01m16.9727s,44,2919.0,8.1,G0,0.36,-0.117,-0.125,0.017,8; 25,12,21
795,Beta Scut,18,41.9,-4,51,18h46m18.3998s,-04d44m40.4607s,-4,4582.0,4.5,G0,0.024,-0.007,-0.08,0.011,8; 24,10.8,20
796,Omicron Drac,18,49.7,59,16,18h50m27.3551s,+59d23m11.5855s,59,1925.0,4.8,K0,0.09,0.087,0.081,0.003,4; 13,11.5,20
797,113 Herc,18,50.5,22,32,18h54m13.2005s,+22d39m31.8953s,22,3524.0,4.6,G0.,0.004,0.001,0.006,0.012,8; 25,11.4,19
798,Theta Lyra,19,12.9,37,57,19h15m28.1981s,+38d07m33.8932s,37,3398.0,4.5,K0,0.008,-0.007,0.013,-0.015,7; 24,9.5,20
799,Zeta Dlph,20,30.6,14,20,20h34m40.1735s,+14d40m36.4724s,14,4353.0,4.7,A2,0.042,0.042,0.046,0.007,5; 17,10.8,17
800,71 Agil,20,33.2,-1,27,20h38m09.7023s,-01d06m01.3054s,-1,4016.0,4.5,K0,0.03,0.015,0.014,-0.004,7; 21,10.6,19
801,Delta Dlph,20,38.8,14,43,20h42m40.1888s,+15d04m30.7848s,14,4403.0,4.5,A5,0.056,-0.019,-0.028,0.003,6; 20,10.2,20
802,30 Vulp,20,40.6,24,55,20h44m19.8194s,+25d16m42.9929s,24,4229.0,5.1,K2,0.186,-0.031,-0.035,0.004,5; 16,11.2,19
803,77 Cygn,21,38.4,40,38,21h42m01.0835s,+41d05m22.1223s,40,4615.0,5.5,A0,0.019,0.019,-0.037,-0.005,6; 21,9.5,21
804,11 Ceph,21,40.5,70,51,21h41m24.7625s,+71d18m25.662s,70,1193.0,4.8,K0,0.153,0.12,0.114,0.011,8; 24,10.8,20
805,34 Pegs,22,21.5,3,53,22h26m03.4369s,+04d23m29.6052s,3,4705.0,5.8,G0,0.298,0.295,0.283,0.039,6; 20,11,20
806,64 Pisc,0,43.7,16,24,00h48m15.3034s,+16d56m44.9803s,16,76.0,5.2,F5,0.206,-0.017,0.0,0.042,8; 30,12.4,28
807,Polaris,1,22.6,88,46,02h29m57.3743s,+89d15m29.9335s,88,8.0,2.1,F8,0.043,0.043,0.051,0.001,6; 29,8.6,30
808,A Oe 2618,2,14.0,70,43,02h22m47.0979s,+71d10m30.1241s,70,169.0,8.5,K1,0.63,0.574,0.531,0.027,6; 26,10.8,29
809,SU Cass,2,43.0,68,28,02h51m55.848s,+68d52m52.8599s,68,200.0,Var,F5,0.017,0.015,0.005,0.008,5; 20,11.3,28
810,36 Pers,3,25.5,45,43,03h31m56.1854s,+46d03m30.9111s,45,778.0,5.4,F0,0.085,-0.049,-0.05,0.025,5; 22,10.1,30
811,Delta Pers,3,35.8,47,28,03h42m06.8601s,+47d47m20.0936s,47,876.0,3.1,B5,0.047,0.033,0.025,0.006,6; 26,11.2,30
812,52 Pers,4,8.1,40,14,04h14m48.4512s,+40d29m14.6961s,40,912.0,4.9,G0,0.032,0.017,-0.021,-0.001,6; 27,10.7,28
813,Eta Auri,4,59.5,41,6,05h06m00.5949s,+41d14m17.6161s,41,1058.0,3.3,B3,0.082,0.032,0.03,0.01,4; 19,10.6,27
814,133 Taur,5,42.0,13,52,05h47m40.3503s,+13d54m12.5142s,13,979.0,5.2,B5,0.024,0.02,-0.007,-0.008,4; 19,11.4,30
815,5 Mono,6,10.0,-6,15,06h14m52.737s,-06d16m48.7728s,-6,1469.0,4.1,K0,0.021,-0.001,-0.004,0.01,5; 21,10.6,29
816,RT Auri,6,22.1,30,33,06h28m25.6916s,+30d29m19.8819s,30,1238.0,Var,G0,0.023,-0.004,0.0,0.003,3; 16,11.6,28
817,1 C Min,7,19.4,11,53,07h24m33.5153s,+11d41m19.7643s,11,1578.0,5.3,A2,0.025,-0.018,-0.009,0.009,4; 18,11.4,31
818,81 Gemi,7,40.3,18,45,07h45m47.9722s,+18d30m29.8834s,18,1733.0,5,K2,0.095,-0.066,-0.073,0.007,4; 19,11.3,30
819,Lal 17161,8,38.6,42,3,08h44m38.6981s,+41d41m22.6118s,42,1922.0,8.2,K0,0.701,-0.266,-0.289,0.051,6; 23,11,30
820,Lal 19229,9,43.5,14,14,09h48m25.8137s,+13d46m09.7696s,14,2151.0,8.1,F0,0.829,0.343,0.379,0.021,5; 23,10.7,32
821,Eta Leon,10,1.9,17,15,10h06m27.2456s,+16d45m47.8995s,17,2171.0,3.6,A0p,0.01,0.002,0.04,-0.01,5; 21,11.1,29
822,62 Urs. Maj,11,36.4,32,18,11h41m15.1696s,+31d44m44.1292s,32,2179.0,5.7,F5,0.343,-0.343,-0.32,0.018,4; 17,11.7,31
823,17 Virg,12,17.4,5,52,12h22m06.2725s,+05d18m42.7127s,6,2599.0,6.5,F8,0.177,-0.167,-0.152,0.017,6; 23,10.5,29
824,37 Coma,12,55.5,31,19,12h59m47.4491s,+30d46m37.9577s,31,2434.0,5.1,K0,0.033,-0.024,-0.087,0.01,5; 20,11.1,29
825,17 H CVen,13,30.3,37,42,13h34m27.3061s,+37d11m15.5577s,37,2426.0,5,F0,0.088,0.086,0.072,0.014,5; 19,10.5,25
826,Sigma Boot,14,30.3,30,11,14h34m19.9086s,+29d44m41.2699s,30,2536.0,4.5,F0,0.232,0.197,0.207,0.07,6; 22,12.3,29
827,Omega  Boot,14,57.7,25,24,15h01m23.0714s,+25d00m17.5693s,25,2861.0,4.9,K5,0.056,-0.003,0.017,0.022,5; 21,11.7,31
828,Beta Cor B,15,23.7,29,27,15h27m08.9416s,+29d06m05.8032s,29,2670.0,3.7,F0p,0.187,-0.17,-0.171,0.034,8; 32,11.5,28
829,Rho Serp,15,46.9,21,17,15h50m24.0424s,+20d58m49.7088s,21,2829.0,4.9,K5,0.045,-0.045,-0.03,0.006,7; 28,11.4,31
830,Epsilon Ophi,16,13.0,-4,27,16h18m16.9858s,-04d41m41.5527s,-4,4086.0,3.3,K0,0.088,0.082,0.071,0.03,7; 25,10.6,29
831,43 Herc,16,41.0,8,46,16h45m48.1244s,+08d35m02.4374s,8,3271.0,5.4,K2,0.017,0.003,0.014,0.012,6; 25,10.9,28
832,Lal 31313,17,6.3,40,54,17h09m14.8845s,+40d46m25.8783s,40,3109.0,5.1,K0,0.049,-0.049,-0.033,0.015,5; 21,10.7,27
833,49 Ophi,17,21.6,4,14,17h25m57.7225s,+04d08m41.9512s,4,3422.0,4.4,K0,0.007,0.006,-0.001,0.002,6; 25,10.2,31
834,96 Herc,17,58.1,20,50,18h02m16.5326s,+20d50m01.2269s,20,3649.0,5.1,B3,0.018,0.003,0.006,-0.002,4; 18,11.7,29
835,104 Herc,18,8.1,31,23,18h11m45.9037s,+31d24m26.4349s,31,3199.0,5,Ma,0.016,-0.004,-0.011,0.004,5; 19,10.8,28
836,Delta Scut,18,36.8,-9,9,18h41m28.495s,-09d03m22.7646s,-9,4796.0,4.7,F0,0.016,0.016,-0.005,0.017,4; 16,10.3,28
837,Beta 1 Lyra,18,46.4,33,15,18h49m41.4831s,+33d21m55.4818s,33,3223.0,Var,B5,0.011,0.008,0.006,-0.013,5; 22,11.1,29
838,Theta 1 Serp,18,51.2,4,4,18h55m57.9965s,+04d11m43.5889s,4,3916.0,4.5,A5,0.056,0.049,0.048,0.029,6; 24,10.6,28
839,Theta 2 Serp,18,51.3,4,4,18h55m57.9965s,+04d11m43.5889s,4,3916.0,5.4,A5,0.049,0.046,0.055,0.009,8; 30,10.6,28
,Mean,,,,,0,0,,,,,,,,0.021,5,,
840,Epsilon Aqil,18,55.1,14,56,18h59m32.6854s,+15d04m15.7679s,14,3736.0,4.2,K0,0.098,-0.06,-0.058,0.024,7; 28,10.8,29
841,21 Aqil,19,8.7,2,7,19h13m02.492s,+02d17m07.1565s,2,3824.0,5.1,B8,0.007,0,0.006,0.002,6; 23,10.8,27
842,53 Drac,19,9.8,56,41,19h10m52.844s,+56d51m02.3315s,56,2209.0,5.2,K0,0.058,0.043,0.038,0.007,6; 25,10.2,30
843,26 Aqil,19,15.2,-5,36,19h20m19.5397s,-05d24m53.6129s,-5,4936.0,5.1,G5,0.113,0.106,0.113,0.026,5; 21,10.4,30
844,36 Aqil,19,25.4,-3,0,19h30m13.6598s,-02d47m32.1787s,-3,4612.0,5.2,Ma,0.018,0.012,0.02,0.025,6; 25,10.4,29
845,Lal 37728,19,43.9,27,37,19h47m04.3591s,+27d51m46.9154s,27,3516.0,6.8,G5,0.23,-0.04,-0.007,0.023,5; 19,11,27
846,68 Drac,20,9.9,61,47,20h10m35.8898s,+62d04m55.6336s,61,1983.0,5.7,F5,0.158,0.137,0.119,0.024,5; 18,10,27
847,T Vulp,20,47.2,27,53,20h51m14.6585s,+28d15m28.6279s,27,3890.0,Var,F8p,0.019,0.011,0.009,0.0,4; 18,11.5,30
848,Mu Aqar,20,47.3,-9,22,20h52m23.3273s,-08d59m27.6755s,-9,5598.0,4.8,A3,0.054,0.04,0.027,0.011,5; 21,10.1,29
849,Beta Ceph,21,27.4,70,7,21h28m16.6802s,+70d33m17.7581s,69,1173.0,3.3,B1,0.013,0.013,0.012,0.003,6; 24,10.3,33
850,Xi Aqar,21,32.4,-8,19,21h37m18.6457s,-07d52m05.1842s,-8,5701.0,4.8,A5,0.117,0.114,0.099,-0.005,5; 20,10.2,28
851,9 Pegs,21,39.8,16,53,21h43m43.9893s,+17d20m28.8994s,16,4582.0,4.5,G5,0.033,0.021,0.003,-0.001,5; 20,10.3,28
