Thaw Number,BD,RA1900,YPC #,YPC Lettter,Thaw Name,Note
856,+7 5128,00 00 12.00 ,1.00,,Lal 47226,removed an appended .0 value from BD Number
1314,+17 5036,00 00 18.00,6.00,M,Sigma 3060 A,Added BD Number
1315,+17 5036,00 00 18.00,6.00,B,Sigma 3060 B,Added BD Number
1316,+57 2865,00 01 00.00 ,7.00,M A B ?,Sigma 3062,removed an appended .0 value from BD Number
1114,+28 4704,00 01 24.00 ,9.00,A,Brad 3212,removed an appended .0 value from BD Number
1601,+35 8,00 03 30.00 ,13.00,,WB 1377,removed an appended .0 value from BD Number
1264,+29 14,00 06 12.00 ,23.00,,Lal 34 ,removed an appended .0 value from BD Number
906,-8 26,00 09 18.00 ,37.00,A,Lal 158  ,removed an appended .0 value from BD Number
1924,+54 223,01 01 36.00 ,219.00,A,Mu Cas,removed an appended .0 value from BD Number
368,+23 158,01 08 18.00 ,250.00,A,Phi Pisc,
2047,+28 271,01 32 42.00 ,339.00,,Lal 2975,removed an appended .0 value from BD Number
1987,,02 03 06.00 ,438.01,,"Ci20, 148 ",no BD number 
723,+56 449,02 05 54.00 ,443.00,A,Lal 393972,
1266,+23 296,02 06 36.00 ,448.00,A,Sigma 226 A,removed an appended .0 value from BD Number
243,+6 174,02 09 00.00 ,0,?,Zeta Piscium (prec.),
244,+6 175,02 09 00.00 ,0,?,Zeta Piscium (fol.),
918,+49 857,03 01 48.00 ,647.00,A,Iota Pers,removed an appended .0 value from BD Number
1066,+77 115,03 07 36.00 ,661.00,A,48 H Ceph,removed an appended .0 value from BD Number
672,+8 482,03 09 24.00 ,673.00,,"Weisse 3h, 113",
1813,+50 729,03 09 06.00 ,671.10,,Grb 631,removed an appended .0 value from BD Number
1127,+75 154,03 38 24.00 ,0,?,Grb 745,removed an appended .0 value from BD Number
1421,-0 632,03 57 30.00 ,891.00,? ck dec. ,Lal 7484,removed an appended .0 value from BD Number
375,+37 878,04 00 54.00 ,907.00,A,Omicron Sigma 531,
1218,+11 583,04 08 42.00 ,935.00,,Lal 7892,removed an appended .0 value from BD Number
1373,+29 678,04 08 54.00 ,937.00,,Lal 7867,removed an appended .0 value from BD Number
1565,+53 750,04 08 54.00 ,936.00,,Lal 7820,removed an appended .0 value from BD Number
2049,+21 642,04 19 24.00 ,974.02,A,Kappa Tau,removed an appended .0 value from BD Number
379,+46 970,05 03 18.00 ,1161.00,,Piazzi 294,
922,+79 169,05 06 06.00 ,1173.00,A,19 H Caml,removed an appended .0 value from BD Number
1930,-8 1063,05 09 42.00 ,1191.00,A,Beta Ori*,removed an appended .0 value from BD Number
1135,+19 893,05 13 18.00 ,1205.00,M A B ?,Lal 9913,removed an appended .0 value from BD Number
1088,+21 902,05 34 24.00,0,?,Sigma 472 Bt,Added BD Number
1089,+21 902,05 34 24.00,0,?,Sigma 472 Ft  M-Lal 10503,"Added BD Number, check Lal Number on Thaw Name"
1376,+55 1027,05 46 30.00 ,1344.00,,Xi Auri,removed an appended .0 value from BD Number
381,+6 1155,06 06 36.00 ,1431.00,,Lal 11774,
1610,+10 1050,06 07 36.00 ,1435.00,,Lal 11803,removed an appended .0 value from BD Number
529,+2 1163,06 08 36.00 ,1442.00,,Lal 11870,
1729,-0 1234,06 10 30.00 ,1456.00,,Lal 11936,removed an appended .0 value from BD Number and changed + to - on BD Number
1823,-8 1558,06 42 48.00 ,1590.00,,Lal 13100,removed an appended .0 value from BD Number
417,+15 1473,07 02 18.00 ,1665.00,B,Lal 13784,
418,+15 1476,07 02 30.00 ,1665.00,A,Lal 13791,
649,+25 1594,07 03 30.00 ,1669.00,A,Lal 13792,
1879,+27 1337,07 06 36.00 ,1681.00,A,A 5871,removed an appended .0 value from BD Number
1141,+25 1613,07 07 48.00 ,1685.00,A,Lal 13972,removed an appended .0 value from BD Number
97,+28 1385,07 20 00.00 ,1693.00,,60 Iota Geminorum,
61,+29 1590,07 37 00.00 ,1821.00,A,Sigma Geminorum,
95,+20 1687,07 58 00.00 ,0,?,43 Zeta Geminorum,
1463,+22 1862,08 01 54.00 ,1923.00,,10 Canc,removed an appended .0 value from BD Number
607,+35 1767,08 03 42.00 ,1933.00,A,Lal 15882,
1029,+32 1695,08 05 24.00 ,1937.00,A,Lal 15950,removed an appended .0 value from BD Number
1275,+18 1867,08 06 30.00 ,1941.00,A B,Zeta Canc AB,Added BD Number
1276,+18 1867,08 06 30.00 ,1941.00,C ,Zeta Canc C ,Added BD Number
1328,+57 1128,08 08 06.00 ,1952.00,A   ,Lal 15976,removed an appended .0 value from BD Number
540,-0 1987,08 19 30.00 ,1997.00,A   ,Lal 16469,change from + to -
1384,+39 2200,09 00 12.00 ,2169.00,,Lal 17890,removed an appended .0 value from BD Number
1828,+5 2116,09 00 42.00 ,2170.00,,Omega Hyd,removed an appended .0 value from BD Number
1031,+21 1969,09 01 00.00 ,2173.00,,Lal 17937,removed an appended .0 value from BD Number
541,,09 01 42.00 ,2175.00,A  ,Sigma 1311,no BD number
542,+23 2048,09 01 42.00 ,2175.00,B,Sigma 1311,
869,+27 1715,09 02 54.00 ,2178.00,A,75 Canc,removed an appended .0 value from BD Number
978,+53 1320,09 07 36.00 ,2198.00,A,Fed 1457,removed an appended .0 value from BD Number
979,+53 1321,09 07 36.00 ,2198.00,B,Fed 1458,removed an appended .0 value from BD Number
1330,-0 2163,09 10 36.00 ,2202.00,,Sigma 1329 B,removed an appended .0 value from BD Number and changed + to - on BD Number
1331,-0 2164,09 10 36.00 ,2203.00,A  ,Sigma 1329 A,removed an appended .0 value from BD Number and changed + to - on BD Number
1997,-0 2211,09 26 54.00 ,2268.01,,32 Hyd,removed an appended .0 value from BD Number and changed + to - on BD Number
1092,+3 2321,10 04 12.00 ,2386.00,,Lal 19782,removed an appended .0 value from BD Number
1430,+3 2338,10 08 54.00 ,2401.00,,Lal 19896,removed an appended .0 value from BD Number
644,+32 3132,11 12 54.00,2265.00,M A C ?,Xi Ursae Majoris,added BD Number and Thaw Name from Mean Name
645,+32 3132,11 21 54.00,2265.00,M A C ?,Xi Ursae Majoris,added BD Number and Thaw Name from Mean Name
1710,+41 2276,12 04 36.00 ,2800.00,,Lal 22810,removed an appended .0 value from BD Number
1285,+78 412,12 07 30.00 ,2813.00,,4H Drac,removed an appended .0 value from BD Number
1340,+10 2519,13 06 24.00 ,3010.00,A   ,Lal 24504,removed an appended .0 value from BD Number
1711,+40 2633,13 09 12.00 ,3020.00,,Lal 24587,removed an appended .0 value from BD Number
1290,+43 2321,13 16 06.00 ,3052.00,,Lal 24774,removed an appended .0 value from BD Number
222,+7 2692,13 43 00.00 ,3140.00,B,B.D. +7 2692,
1038,+44 2325,14 03 54.00 ,3214.00,,9 H Boot,removed an appended .0 value from BD Number
1528,+3 2867,14 07 12.00 ,3226.00,A,Lal 26031,removed an appended .0 value from BD Number
1168,+61 1451,14 39 36.00 ,3332.00,A,Grb 2146,removed an appended .0 value from BD Number
1744,+49 2326,14 46 18.00,3355.10,A B,39 Boo B,Added BD Number
1663,+48 2259,15 00 30.00 ,3410.00,A,44 Boo A,removed an appended .0 value from BD Number
1577,+39 2947,15 01 30.00 ,0,?,Grb 2305,removed an appended .0 value from BD Number
689,+55 1730,15 03 24.00 ,3422.00,,Rad 3328,
438,+19 2939,15 08 18.00 ,3435.00,A,Lal 27742,"Added BD Number, but should verify (check BD Number for Mean - Sigma 1919 - which was added)"
439,+19 2939,15 08 18.00 ,3435.00,B,Lal 27743,"Added BD Number, but should verify (check BD Number for Mean - Sigma 1919 - which was added)"
1170,-0 2944,15 08 48.00 ,3438.00,M A,Lal 27744,removed an appended .0 value from BD Number and changed + to - on BD Number
490,+2 2989,15 39 00.00 ,3556.00,A,Psi Serp,
790,+11 2910,16 01 12.00 ,3649.00,A,Lal 29330,removed an appended .0 value from BD Number
616,+39 2950,16 02 54.00 ,3654.00,,Lal 29439,
939,-3 3884,16 04 36.00 ,3660.00,,Paris20211,removed an appended .0 value from BD Number
1476,+68 864,16 06 00.00 ,3670.00,,Lal 29641,removed an appended .0 value from BD Number
690,+39 2963,16 09 18.00 ,3685.00,M,Lal 29644,
15,+34 2750,16 11 00.00,3689.00,A B ?,Sigma Coronae (fol),
1438,+22 3073,17 02 06.00 ,3887.00,A,Lal 31160,removed an appended .0 value from BD Number
492,+54 1857,17 03 18.00,3890.00,A B ?,Mu Drac,"double entry with different relative parallax, added BD Number"
493,+54 1857,17 03 18.00,3890.00,A B ?,Mu Drac,"double entry with different relative parallax, added BD Number"
447,+4 3336,17 03 24.00 ,3891.00,,Lal 31174,
1666,+4 3336,17 03 24.00 ,3891.00,,Lal 31174,"removed an appended .0 value from BD Number; this appears to be republished, possibly with newer plates measured"
832,+40 3109,17 06 18.00 ,3898.00,A,Lal 31313,removed an appended .0 value from BD Number
792,-0 3300,17 25 12.00 ,3970.00,M A B ?,Dpt 1949 m,removed an appended .0 value from BD Number and changed + to - on BD Number
1755,+2 3482,18 00 24.00,4137.00,M A B ?,70 Oph B,Added BD Number
568,+30 3113,18 00 06.00 ,4135.00,,Lal 33193,
532,+33 3019,18 01 12.00 ,4140.00,,Lal 33251,
793,+15 3358,18 01 48.00 ,4144.00,,Lal 33234,removed an appended .0 value from BD Number
1296,+43 2892,18 04 30.00 ,4159.00,,Grb 2517,removed an appended .0 value from BD Number
1441,+86 269,18 04 30.00 ,4158.00,,? U Mn ,"removed an appended .0 value from BD Number and check identy of unknown Greek letter in Thaw name (YPC says ""23 UMi"")"
1543,+36 3027,18 04 36.00 ,4161.00,,Lal 33402,removed an appended .0 value from BD Number
285,+3 3613,18 05 00.00 ,4165.00,A,Beta 637,
1672,+38 3095,18 06 18.00 ,4171.00,,Lal 33439,removed an appended .0 value from BD Number
884,+0 3936,18 22 06.00 ,4240.00,M,59 Serp,removed an appended .0 value from BD Number
1633,+23 3439,18 40 30.00 ,4322.00,A,Lal 34852,changed RA to 18 40 30.00 (not 18 41 30.00) and removed an appended .0 value from BD Number
1076,+55 2107,18 40 42.00 ,4323.00,A,46 Drac,removed an appended .0 value from BD Number
840,+14 3736,18 55 06.00 ,4406.00,A,Epsilon Aqil,removed an appended .0 value from BD Number
887,-5 4876,19 00 54.00 ,4438.00,,Lambda Aqil,removed an appended .0 value from BD Number
2019,,19 01 06.00 ,4440.00,,AC70deg8274,"no BD number, check name (added ""deg"" in name for degrees superscript symbol)"
1247,+28 3193,19 02 42.00 ,4449.00,,Lal 35836,removed an appended .0 value from BD Number
1959,+32 3326,19 03 42.00 ,4458.00,A,17 Lyr C*,no BD number; no BD number in Thaw list but added from YPC info
1849,+21 3672,19 03 48.00 ,4460.10,,WB 19h16,removed an appended .0 value from BD Number
1189,+5 4040,19 04 06.00 ,4463.00,,19 Aqil,removed an appended .0 value from BD Number
1190,+55 2152,19 06 18.00 ,4468.00,A,Grb 2781,removed an appended .0 value from BD Number
1444,+52 2350,19 06 06.00 ,4467.00,,Lal 36091,removed an appended .0 value from BD Number
1960,,19 07 00.00 ,4471.00,,Merrill*,"no BD number ; called ""Merrill's Star"""
497,+38 3466,19 07 42.00,4474.00,B,Sigma B.C.,Added BD Number
498,+38 3466,19 07 42.00,4474.00,A,Sigma A,Added BD Number
841,+2 3824,19 08 42.00 ,4478.00,A,21 Aqil,removed an appended .0 value from BD Number
1352,+16 3775,19 08 06.00 ,4476.00,A,Lal 36081,removed an appended .0 value from BD Number
576,+49 2959,19 09 30.00 ,4483.00,B,Gr 2798,"Added BD Number, but should verify (check BD Number for Mean - Sigma 2486 - which was added)"
577,+49 2959,19 09 30.00 ,4483.00,A,Dorpat 2258,"Added BD Number, but should verify (check BD Number for Mean - Sigma 2486 - which was added)"
1635,+49 3038,19 29 24.00 ,4580.00,,Lal 37161,removed an appended .0 value from BD Number
580,-0 3788,19 30 54.00 ,4593.00,A,Pi 182,change from + to -
1079,-0 3813,19 35 36.00 ,4620.00,A,45 Aqil,removed an appended .0 value from BD Number and changed + to - on BD Number
891,+29 3820,19 53 12.00,4722.00,,AG Camb 10646,removed an appended .0 value from BD Number
892,+25 4090,20 00 42.00 ,4765.00,,Lal 38430,removed an appended .0 value from BD Number
1252,+19 4277,20 00 42.00 ,4766.00,,Eta Sgte,removed an appended .0 value from BD Number
1106,+7 4367,20 01 48.00 ,4770.00,,Lal 38442,removed an appended .0 value from BD Number
1107,+7 4366,20 01 48.00 ,4769.00,A,Lal 38426,removed an appended .0 value from BD Number
1199,+52 2623,20 03 36.00 ,4779.00,A,Grb 3042,removed an appended .0 value from BD Number
507,+16 4166,20 05 00.00 ,4783.00,A,Lal 38613,
1054,+8 4358,20 05 18.00 ,4784.00,M,Lal 38612,removed an appended .0 value from BD Number
763,+15 4074,20 06 36.00 ,4793.00,A,Lal 38683,
1447,-1 3911,20 06 06.00 ,4790.00,A,? Aqil,removed an appended .0 value from BD Number and check identy of unknown Greek letter (Theta ?) in Thaw name
1001,+6 4479,20 09 18.00 ,4805.00,B,Pi 20h43,removed an appended .0 value from BD Number
1002,+6 4480,20 09 18.00 ,4805.00,A,Pi 20h44,removed an appended .0 value from BD Number
956,+29 4324,21 04 24.00 ,5088.00,A,Sigma 2762,removed an appended .0 value from BD Number
1257,-11 5538,21 04 06.00 ,5086.00,,Nu Aqar,removed an appended .0 value from BD Number
1592,+70 1164,21 05 48.00 ,5094.00,,Grb 3409,removed an appended .0 value from BD Number and changed BD Number to +71 1164 (not +70 1164 - must verify)
1765,+23 4264,21 07 30.00 ,5098.10,A,Lal 41144,removed an appended .0 value from BD Number
462,+9 4746,21 09 36.00 ,5107.00,A,Delta Equuiei (Mean),
960,-1 4246,22 00 36.00 ,5332.00,A,Alpha Aqar,removed an appended .0 value from BD Number
900,+1 4583,22 01 24.00 ,5335.00,,Lal 43090,removed an appended .0 value from BD Number
773,+82 673,22 01 48.00 ,5337.00,A,Brad 2935,
774,+82 674,22 01 54.00 ,5337.00,B,Gr 3709,
636,+44 4043,22 02 00.00 ,5341.00,,Piazzi 405,
1360,-0 4307,22 02 00.00 ,5342.00,A,Sigma 2862 A,removed an appended .0 value from BD Number and changed + to - on BD Number
1645,+18 4930,22 02 42.00 ,5348.00,,Pi 406,removed an appended .0 value from BD Number
1596,+52 3112,22 03 06.00 ,5349.00,,Lal 43205,removed an appended .0 value from BD Number
1085,-8 5818,22 04 12.00 ,5356.00,,Brad 2904,removed an appended .0 value from BD Number
