Thaw Number,YPC Number,YPC letter,Name,RA1900,Dec1900,Source,RA Sec.var.,Dec Sec.var.,ma,md,pabs,s,V,B-V,Spectrum,DM,Comment on any data entry problem
,,,,h   m   s,"o      '    """,,  m    s,"   '    ""","""/yr","""/yr","""","""",mag,mag,,,
856,1.00,,CI 1,00 00 12.776,+08 13 57.83,A,+05 09.209,+33 18.32,+0.2670,-0.0610,-0.0004,0.0075,8.22,+1.09,G5:Ba2.5CH3Ca-3,B +07 5128,
1314,6.00,M,,00 00 48.730,+17 31 21.98,A,+05 06.230,+33 11.18,-0.2057,-0.1320,+0.0147,0.0055,8.60,+0.94,K0,B +17 5036,
1315,6.00,B ,, , ,,,,-0.1298,-0.1320,,,8.7,,,B +17 5036 B,
1316,7.00,M ,S 3062 A,00 01 01.648,+57 52 44.52,A,+05 12.644,+33 30.36,+0.2532,+0.0600,+0.0455,0.0050,5.96,+0.67,G5 V,B +57 2865,
1114,9.00,A,,00 01 25.196,+28 28 11.05,A,+05 11.071,+33 07.12,+0.3854,-0.1720,+0.0664,0.0063,6.13,+0.75,K0V,B +28 4704,
1601,13.00,,,00 03 31.850,+36 04 26.60,A,+05 08.408,+33 11.62,-0.1123,-1240,0.0462,0.0072,6.19,+0.48,F8IV,B +35 8,
1264,23.00,,,00 06 10.424,+29 53 31.73,A,+05 11.426,+33 27.60,+0.2114,+0.0420,+0.0307,0.0084,7.96,+0.75,K0V,B +29 14,
906,37.00,A,,00 09 20.817,-08 20 12.61,A,+05 06.759,+33 23.11,+0.0549,+0.0080,+0.0025,0.0086,5.12,+1.62,M3+III,B -08 26,
1924,219.00,A,m Cas,01 01 36.766,+54 25 47.14,A,+06 37.837,+29 31.50,+3.4294,-1.5648,+0.1339,0.0017,5.17,+0.69,G5Vb,B +54 223,
368,250.00,A,f Psc,01 08 19.001,+24 03 14.62,A,+05 25.376,+31 50.80,+0.0177,-0.0175,+0.0059,0.0099,4.65,+1.04,K0III,B +23 158,
243,251.00,A  ,z Psc,01 08 30.293,+07 02 47.76,A,+05 13.281,+31 47.21,+0.1417,-0.0497,+0.0233,0.0095,5.24,+0.32,A7IV,B +06 174,
244,251.00,B,z Psc,,,,,,+0.1354,-0.0528,,,6.30,+0.49,F7V,B +06 175,
2047,339.00,,CI 18-226,01 32 43.260,+29 03 52.87,A,+05 40.109,+30 13.08,+0.3955,-0.2461,+0.0232,0.0092,8.66,+0.83,K0IV-V,B +28 271,
1987,438.01,,LTT 10723,02 03 06,+24 46,P,+05 42.444,+28 25.12,+0.424,-0.106,+0.0300,0.0025,13.23,-0.04,DA3,,
723,443.00,A,,02 05 55.376,+56 44 24.57,A,+06 58.764,+28 00.49,+0.2700,-0.2087,+0.0207,0.0098,7.02,+0.62,G2/3V,B +56 449,
1266,448.00,A,,02 06 35.618,+23 29 32.32,A,+05 39.234,+28 03.27,+0.1378,-0.1656,+0.0343,0.0098,7.8,,K1III-IV,B +23 296,
918,647.00,A,i Per,03 01 50.755,+49 13 53.03,A,+07 11.914,+23 06.99,+1.2646,-0.0730,+0.0919,0.0045,4.05,+0.59,G0V,B +49 857,
1066,661.00,A,,03 07 37.159,+77 22 02.65,A,+12 33.577,+22 23.91,+0.0648,-0.0537,+0.0129,0.0066,5.45,+0.19,A6V,B +77 115,
1813,671.10,,,03 09 02.997,+50 34 00.07,A,+07 07.802,+22 27.62,-0.0075,-0.0120,+0.0108,0.0072,5.03,+1.15,G6Ib-IIa,B +50 729,
672,673.00,,G 079-018,03 09 21.762,+08 37 10.13,A,+05 25.143,+21 50.04,+0.4046,-0.3945,+0.0425,0.0062,7.83,+0.86,K1V,B +08 482,
1127,858.00,,G 248-010,03 48 24.008,+75 53 06.86,A,+12 49.400,+16 51.86,+0.3532,-0.5300,+0.0504,0.0055,8.26,+1.15,K4V,B +75 154,
1421,891.00,,,03 57 29.184,-00 32 24.77,A,+05 07.285,+16 26.59,+0.1435,-0.2494,+0.0558,0.0056,5.38,+0.50,F5V,B -00 632,
375,907.00,A,G 039-001,04 00 54.291,+37 48 40.66,A,+06 39.402,+16 00.96,0.1810,-0.2170,+0.0326,0.0068,7.09,+0.91,K1V,B +37 878,
1218,935.00,,vA 59,04 08 42.822,+12 05 44.84,A,+05 35.148,+15 19.48,+0.3403,-0.0515,+0.0261,0.0084,6.86,+0.36,G2V,B +11 583,
1565,936.00,,,04 08 54.780,+53 21 38.88,A,07 47.159,+15 19.29,-0.0161,+0.0040,+0.0096,0.0072,5.19,+0.05,A2Vn,B +53 750,
1373,937.00,,,04 08 53.779,+29 39 14.79,A,+06 16.131,+15 04.80,+0.1467,-0.1713,+0.0111,0.0084,7.10,+1.07,K1IV,B +29 678,
2049,974.02,A,k1 Tau,04 19 24.412,+22 03 54.87,A,+05 57.366,+13 55.04,+0.1058,-0.0495,+0.0229,0.0126,4.22,+0.13,A7IV-V,B +21 642,
379,1161.00,,,05  03 15.950,+46 50 18.86,A,+07 26.481,+07 40.59,+0.0635,-0.1476,+0.0270,0.0079,5.68,+0.42,F5V,B +46 970,
922,1173.00,A,19 Cam,05 06 14.121,+79 06 59.21,A,+16 25.017,+07 28.33,-0.0846,+0.1582,+0.0472,0.0053,5.05,+0.47,F6V,B +79 169,
1930,1191.00,A,b Ori,05 09 43.872,-08 19 01.50,A,+04 48.237,+07 05.71,-0.0034,-0.0017,+0.0093,0.0062,0.12,-0.03,B8Iae,B -08 1063,
1135,1205.00,M,Lal 9913,05 13 19.609,+20 01 47.77,A,+05 54.874,+06 28.11,-0.0350,-0.0462,+0.0151,0.0080,6.08,+1.01,"G8II+G1III,IV-V",B +19 893,
