Thaw Number,Thaw Name,YPC Number,YPC Component,Delta Pi
1,Sigma Andromedae,51.0,,
2,Delta Piscium,158.0,,
3,Epsilon Piscium,209.0,,
4,Mu Cassiopeiae,219.0,A,
5,Omicron  Piscium,368.0,,
6,Beta Arietis,394.0,,
7,39 Arietis,567.0,,
8,37 Tauri,897.0,A,
,,897.0,B,
9,50 Persei,911.0,,
10,Mu Geminorum,1475.0,,
11,Epsilon Geminorum,1567.0,A,
,,1567.0,B,
12,Alcor,3066.0,,
13,Gamma Serpentis,3604.0,,
14,Sigma Coronae (prec),3689.0,A,
,,3689.0,B,
,,3689.0,C,
15,Sigma  Coronae (fol),0.0,,
,Mean,0.0,,
16,Gamma Herculis,3718.0,,
17,Lambda Ophiuchi,3755.0,M,
18,29 Herculis,3761.0,,
19,19 Draconis,3860.0,,
20,Lalande 31132,3877.0,,
21,Pi Herculis,3921.0,,
22,Lalande 31546,3943.0,,
23,72 Herculis,3946.0,,
24,Fedorenko 2895,3972.0,,
25,Omega Draconis,4036.0,,
26,Beta Ophiuchi,4042.0,,
27,Xi Draconis,4093.0,,
28,Theta Herculis,4096.0,,
29,99 Herculis,4153.0,,
30,109 Herculis,4231.0,,
31,B.D. +6  3855,4284.0,,
32,Zeta Aquilae,4436.0,,
33,B.D. +16  3752,4456.0,,
34,Delta Aquilae,4542.0,A,
35,Zeta Cygni,5103.0,,
36,Iota Pegasi,5345.0,,
37,71 Cygni,5183.0,,
,,5187.0,,
38,Epsilon Pegasi,5242.0,,
39,Xi Cephei (prec),5333.0,A,
,,5333.0,B,
40,Xi Cephei (fol),5333.0,A,
,,5333.0,B,
,Mean,0.0,,
41,Pi Pegasi,5364.0,,
42,Zeta Cephei,5372.0,,
43,Iota Lacertae,5393.0,,
44,3 Lacertae,5418.0,,
45,35 Pegasi,5428.0,,
46,7 Lacertae,5449.0,,
47,Eta Pegasi,5503.0,A,
,,5503.0,B,
48,2 Andromedae,5580.0,A,
49,Kappa Piscium,0.0,,
50,Omega Piscium,5795.0,,
51,Lambda Aurigae,1199.0,,
52,Omicron Aurigae,1312.0,,
53,4 Geminorum,1420.0,A,
54,Omicron Sigma 149,1535.0,M,
,,1535.0,A,
,,1535.0,B,
55,Xi Geminorum,1573.0,,
