Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
1,Sigma Andromedae,00 13 0.00,+36 14 0.00,00 18 19.7,+36 47 07,+35˚44,4.5,A2,12,8;22,,19,12.5,51.0--,
2,Delta Piscium,00 43 0.00,+7 2 0.00,00 48 40.9,+07 35 06,+6˚107,4.5,K5,12,7;20,,17,9.4,158.0--,
3,Epsilon Piscium,00 58 0.00,+7 21 0.00,01 02 56.5,+07 53 24,+7˚153,4.5,G5,23,8;23,,26,6.5,209.0--,
4,Mu Cassiopeiae,01 2 0.00,+54 26 0.00,01 08 16.2,+54 55 11,+54˚223,5.3,G5,143,9;23,,133,1.7,219.0A,
5,Omicron  Piscium,01 40 0.00,+8 39 0.00,01 45 23.6,+09 09 28,+8˚273,4.5,G5,12,6;18,,21,7.7,368.0--,
6,Beta Arietis,01 49 0.00,+20 19 0.00,01 54 38.4,+20 48 28,+20˚306,2.7,A5,72,8;19,,67,7.8,394.0--,
7,39 Arietis,02 42 0.00,+28 50 0.00,02 47 54.5,+29 14 49,+28˚462,4.6,K,22,6;16,,20,1.9,567.0--,
8,37 Tauri,03 59 0.00,+21 49 0.00,04 04 41.7,+22 04 54,+21˚585,4.5,K,-22,9;24,,12,5.7,897.0A,
9,50 Persei,04 2 0.00,+37 47 0.00,04 08 36.6,+38 02 23,+37˚882,5.6,F,43,8;22,,47,12.5,911.0--,
10,Mu Geminorum,06 17 0.00,+22 34 0.00,06 22 57.5,+22 30 49,+22˚1304,3.2,Ma,30,8;20,,18,5.3,1475.0--,
11,Epsilon Geminorum,06 38 0.00,+25 14 0.00,06 43 55.9,+25 07 51,+25˚1406,3.2,G5,8,8;24,,10,9.6,1567.0A,
12,Alcor,13 21 0.00,+55 31 0.00,13 25 13.5,+54 59 16,+55˚1603,4,A5,35,5;13,,40,7.3,3066.0--,
13,Gamma Serpentis,15 52 0.00,+15 59 0.00,15 56 27.1,+15 39 41,+16˚2849,3.9,F8,53,9;22,,86,4.7,3604.0--,
14,Sigma Coronae (prec),16 11 0.00,+34 7 0.00,16 14 40.7,+33 51 29,+34˚2750,6.7,,30,9;22,,47,3.3,3689.0A,
15,Sigma  Coronae (fol),,,,,,5.8,,52,10;21,,,,0.00,
,Mean,,,,,,,F5,42,7;--,,,,0.00,
16,Gamma Herculis,16 18 0.00,+19 23 0.00,16 21 55.2,+19 09 11,+19˚3086,3.8,Fo,12,8;21,,19,12.5,3718.0--,
17,Lambda Ophiuchi,16 26 0.00,+2 12 0.00,16 30 54.8,+01 59 02,+2˚3118,3.9,A,-10,8;18,,21,1.9,3755.0M,
18,29 Herculis,16 28 0.00,+11 42 0.00,16 32 36.3,+11 29 16,+11˚3008,4.9,K5,-17,5;10,,9,2.1,3761.0--,
19,19 Draconis,16 55 0.00,+65 17 0.00,16 56 01.6,+65 08 05,+65˚1157,4.8,F5,82,8;18,,54,5.1,3860.0--,
20,Lalande 31132,17 0 0.00,+47 12 0.00,17 02 36.3,+47 04 55,+47˚2419,6.5,,61,11;28,,62,6.0,3877.0--,
21,Pi Herculis,17 12 0.00,+36 55 0.00,17 15 02.8,+36 48 33,+36˚2844,3.4,K2,12,8;21,,23,9.6,3921.0--,
22,Lalande 31546,17 16 0.00,+1 32 0.00,17 21 07.0,+01 26 34,+1˚3421,6.9,,39,9;22,,26,3.9,3943.0--,
23,72 Herculis,17 17 0.00,+32 36 0.00,17 20 39.5,+32 28 03,+32˚2696,5.4,G,1,9;21,,73,5.6,3946.0--,
24,Fedorenko 2895,17 25 0.00,+67 23 0.00,17 25 00.0,+67 18 24,+67˚1014,6.3,K,84,9;26,,76,5.8,3972.0--,
25,Omega Draconis,17 38 0.00,+68 48 0.00,17 36 57.0,+68 45 29,+68˚949,4.9,F5,40,8;25,,42,6.8,4036.0--,
26,Beta Ophiuchi,17 39 0.00,+4 37 0.00,17 43 28.3,+04 34 02,+4˚3489,2.9,K,18,9;24,,39,2.0,4042.0--,
27,Xi Draconis,17 52 0.00,+56 53 0.00,17 53 31.7,+56 52 21,+56˚2033,3.9,K,21,8;24,,29,2.1,4093.0--,
28,Theta Herculis,17 53 0.00,+37 16 0.00,17 56 15.1,+37 15 02,+37˚2982,4,K,-5,3;9,,,5.6,4096.0--,
29,99 Herculis,18 3 0.00,+30 33 0.00,18 07 01.5,+30 33 43,+30˚3128,5.2,F8,25,6;14,,58,3.1,4153.0--,
30,109 Herculis,18 19 0.00,+21 43 0.00,18 23 41.9,+21 46 11,+21˚3411,3.9,K,6,6;16,,24,2.0,4231.0--,
31,B.D. +6  3855,18 32 0.00,+6 36 0.00,18 36 39.0,+06 40 18,+6˚3855,5.4,F,19,8;20,,30,9.3,4284.0--,
32,Zeta Aquilae,19 1 0.00,+13 43 0.00,19 05 24.5,+13 51 48,+13˚3899,3,A,36,8;22,,39,9.6,4436.0--,
33,B.D. +16  3752,19 3 0.00,+16 42 0.00,,,+16˚3752,6,F,58,6;17,,,,0.00,
34,Delta Aquilae,19 20 0.00,+2 55 0.00,19 25 29.9,+03 06 53,+2˚3879,3.4,F,62,7;18,,72,5.1,4542.0A,
35,Zeta Cygni,21 9 0.00,+29 49 0.00,21 12 56.2,+30 13 36,+29˚4348,3.4,K,14,8;21,,24,8.9,5103.0--,
