Thaw Number,BD,RA1900
15,,
49,+0 4998,23 22 00.00 
61,+29 1590,07 37 00.00 
95,+20 1687,07 58 00.00 
97,+28 1385,07 20 00.00 
222,+7 2692,13 43 00.00 
243,+6 174,02 09 00.00 
244,+6 175,02 09 00.00 
285,+3 3613,18 05 00.00 
368,+23 158,01 08 18.00 
375,+37 878,04 00 54.00 
379,+46 970,05 03 18.00 
381,+6 1155,06 06 36.00 
397,+50 3602,22 07 18.00 
417,+15 1473,07 02 18.00 
418,+15 1476,07 02 30.00 
438,,15 08 18.00 
439,,15 08 18.00 
447,+4 3336,17 03 24.00 
462,+9 4746,21 09 36.00 
466,,22 23 42.00 
467,,22 23 42.00 
490,+2 2989,15 39 00.00 
492,,
493,,
497,,
498,,
507,+16 4166,20 05 00.00 
529,+2 1163,06 08 36.00 
532,+33 3019,18 01 12.00 
540,+0 1987,08 19 30.00 
541,,09 01 42.00 
542,+23 2048,09 01 42.00 
568,+30 3113,18 00 06.00 
576,,19 09 30.00 
577,,19 09 30.00 
580,+0 3788,19 30 54.00 
591,+56 2966,23 08 30.00 
607,+35 1767,08 03 42.00 
616,+39 2950,16 02 54.00 
636,+44 4043,22 02 00.00 
643,,
644,,
645,,
649,+25 1594,07 03 30.00 
672,+8 482,03 09 24.00 
689,+55 1730,15 03 24.00 
690,+39 2963,16 09 18.00 
723,+56 449,02 05 54.00 
763,+15 4074,20 06 36.00 
773,+82 673,22 01 48.00 
774,+82 674,22 01 54.00 
790,+11 2910.0,16 01 12.00 
792,+0 3300.0,17 25 12.00 
793,+15 3358.0,18 01 48.00 
832,+40 3109.0,17 06 18.00 
840,+14 3736.0,18 55 06.00 
841,+2 3824.0,19 08 42.00 
852,+58 2402.0,22 08 06.00 
856,+7 5128.0,00 00 12.00 
869,+27 1715.0,09 02 54.00 
884,+0 3936.0,18 22 06.00 
887,-5 4876.0,19 00 54.00 
891,,
892,+25 4090.0,20 00 42.00 
900,+1 4583.0,22 01 24.00 
906,-8 26.0,00 09 18.00 
918,+49 857.0,03 01 48.00 
922,+79 169.0,05 06 06.00 
939,-3 3884.0,16 04 36.00 
956,+29 4324.0,21 04 24.00 
960,-1 4246.0,22 00 36.00 
978,+53 1320.0,09 07 36.00 
979,+53 1321.0,09 07 36.00 
1001,+6 4479.0,20 09 18.00 
1002,+6 4480.0,20 09 18.00 
1009,+33 4456.0,22 08 24.00 
1029,+32 1695.0,08 05 24.00 
1031,+21 1969.0,09 01 00.00 
1038,+44 2325.0,14 03 54.00 
1054,+8 4358.0,20 05 18.00 
1061,+38 4711.0,22 09 36.00 
1066,+77 115.0,03 07 36.00 
1076,+55 2107.0,18 40 42.00 
1079,+0 3813.0,19 35 36.00 
1085,-8 5818.0,22 04 12.00 
1088,,
1089,,
1092,+3 2321.0,10 04 12.00 
1106,+7 4367.0,20 01 48.00 
1107,+7 4366.0,20 01 48.00 
1111,,
1112,,
1114,+28 4704.0,00 01 24.00 
