Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
1,Sigma Andromedae,0,13,36,14,35,44,4.5,A2,0.08,0.012,0.008,0.022,,51.00,,00 13 06.0,+36 13 51,4.52,0.05,A2   V,SIG And,0.074,240,0.0193,12.5,,00 18 19.7,+36 47 07
2,Delta Piscium,0,43,7,2,6,107,4.5,K5,0.09,0.012,7.0,20.0,*,158.00,,00 43 29.5,+07 02 27,4.43,1.50,K4   IIIb,DEL Psc,0.095,119,0.0176,9.4,G,00 48 40.9,+07 35 06
3,Epsilon Piscium,0,58,7,21,7,153,4.5,G5,0.08,0.023,8.0,23.0,,209.00,,00 57 45.0,+07 21 06,4.28,0.96,K0   III,EPS Psc,0.085,289,0.0261,6.5,G,01 02 56.5,+07 53 24
4,Mu Cassiopeiae,1,2,54,26,54,223,5.3,G5,3.75,0.143,9.0,23.0,*,219.00,A,01 01 36.7,+54 25 47,5.17,0.69,G5   Vb,MU Cas,3.770,115,0.1339,1.7,G,01 08 16.2,+54 55 11
5,Omicron  Piscium,1,40,8,39,8,273,4.5,G5,0.09,0.012,6.0,18.0,,368.00,,01 40 06.6,+08 39 16,4.26,0.96,G8   III,OMI Psc,0.089,53,0.0216,7.7,G,01 45 23.6,+09 09 28
6,Beta Arietis,1,49,20,19,20,306,2.7,A5,0.15,0.072,8.0,19.0,,394.00,,01 49 06.8,+20 19 09,2.64,0.13,A5   V,BET Ari,0.144,138,0.0671,7.8,F,01 54 38.4,+20 48 28
7,39 Arietis,2,42,28,50,28,462,4.6,K,0.18,0.022,6.0,16.0,,567.00,,02 41 57.0,+28 49 55,4.51,1.11,K1.5 III,39 Ari,0.207,130,0.0204,1.9,G,02 47 54.5,+29 14 49
8,37 Tauri,3,59,21,49,21,585,4.5,K,0.11,-0.022,9.0,24.0,*,897.00,A,03 58 46.8,+21 48 31,4.36,1.07,K0+  III-*,37 Tau,0.107,122,0.0125,5.7,F,04 04 41.7,+22 04 54
,,,,,,,,,,,,,,*,897.00,B,03 58 45.3,+21 46 16,10.40,,G,,0.020,172,,,,04 04 39.4,+22 02 43
9,50 Persei,4,2,37,47,37,882,5.6,F,0.26,0.043,8.0,22.0,,911.00,,04 01 56.5,+37 46 41,5.51,0.46,F7   V,50 Per,0.261,140,0.0478,12.5,,04 08 36.6,+38 02 23
10,Mu Geminorum,6,17,22,34,22,1304,3.2,Ma,0.13,0.03,8.0,20.0,,1475.00,,06 16 54.5,+22 33 54,2.88,1.64,M3   IIIab,* mu. Gem,0.125,153,0.0186,5.3,G,06 22 57.5,+22 30 49
11,Epsilon Geminorum,6,38,25,14,25,1406,3.2,G5,0.02,0.008,8.0,24.0,*,1567.00,A,06 37 46.7,+25 13 48,2.98,1.40,G8   Ib,EPS Gem,0.015,195,0.0100,9.6,G,06 43 55.9,+25 07 51
,,,,,,,,,,,,,,*,1567.00,B,06 37 48.0,+25 14 00,9.22,1.13,K0   III-*,,,,,,,06 43 57.2,+25 08 04
12,Alcor,13,21,55,31,55,1603,4,A5,0.13,0.035,5.0,13.0,,3066.00,,13 21 13.2,+55 30 31,4.01,0.16,A5   V,80 UMa,0.115,99,0.0409,7.3,G,13 25 13.5,+54 59 16
13,Gamma Serpentis,15,52,15,59,16,2849,3.9,F8,1.34,0.053,9.0,22.0,*,3604.00,,15 51 49.9,+15 59 16,3.85,0.48,F6   V,GAM Ser,1.322,167,0.0868,4.7,G,15 56 27.1,+15 39 41
14,Sigma Coronae (prec),16,11,34,7,34,2750,6.7,,,0.03,9.0,22.0,*,3689.00,A,16 10 55.9,+34 06 41,5.64,0.51,G0   VCaI*,SIG CrB,0.287,254,0.0473,3.3,G,16 14 40.7,+33 51 29
,,,,,,,,,,,,,,*,3689.00,B,16 10 54.0,+34 07 00,6.59,,G1   V,SIG CrB,0.290,252,,,,16 14 38.8,+33 51 47
,,,,,,,,,,,,,,*,3689.00,C,16 10 54.0,+34 07 00,12.31,1.40,M3.5,G 180-042,0.340,258,,,,16 14 38.4,+33 51 49
15,Sigma  Coronae (fol),,,,,,,5.8,,,0.052,10.0,21.0,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,,,,F5,0.3,0.042,7.0,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
16,Gamma Herculis,16,18,19,23,19,3086,3.8,Fo,,0.012,8.0,21.0,,3718.00,,16 17 30.4,+19 23 16,3.75,0.27,A9   III,GAM Her,0.062,311,0.0199,12.5,,16 21 55.2,+19 09 11
17,Lambda Ophiuchi,16,26,2,12,2,3118,3.9,A,0.1,-0.01,8.0,18.0,,3755.00,M,16 25 52.1,+02 12 10,3.82,0.01,"A1+A4V,V",LAM Oph,0.090,206,0.0217,1.9,F,16 30 54.8,+01 59 02
18,29 Herculis,16,28,11,42,11,3008,4.9,K5,0.2,-0.017,5.0,10.0,,3761.00,,16 27 55.4,+11 42 09,4.84,1.49,K7   III,29 Her,0.198,247,0.0097,2.1,P,16 32 36.3,+11 29 16
19,19 Draconis,16,55,65,17,65,1157,4.8,F5,0.25,0.082,8.0,18.0,,3860.00,,16 55 28.6,+65 17 14,4.89,0.48,F6   V,19 Dra,0.229,77,0.0541,5.1,P,16 56 01.6,+65 08 05
20,Lalande 31132,17,0,47,12,47,2419,6.5,,0.83,0.061,11.0,28.0,,3877.00,,16 59 47.0,+47 11 57,6.77,0.73,G8   V,CI 18-2277,0.874,8,0.0623,6.0,G,17 02 36.3,+47 04 55
21,Pi Herculis,17,12,36,55,36,2844,3.4,K2,0.03,0.012,8.0,21.0,,3921.00,,17 11 33.7,+36 55 18,3.16,1.44,K3   IIab,PI Her,0.030,274,0.0231,9.6,G,17 15 02.8,+36 48 33
22,Lalande 31546,17,16,1,32,1,3421,6.9,,0.3,0.039,9.0,22.0,,3943.00,,17 16 04.1,+01 32 08,6.95,0.60,F9   V,,0.311,329,0.0268,3.9,G,17 21 07.0,+01 26 34
23,72 Herculis,17,17,32,36,32,2696,5.4,G,1.06,1.06,9.0,21.0,*,3946.00,,17 16 54.9,+32 35 46,5.39,0.62,G0   V,72 Her,1.050,173,0.0737,5.6,G,17 20 39.5,+32 28 03
24,Fedorenko 2895,17,25,67,23,67,1014,6.3,K,0.53,0.084,9.0,26.0,,3972.00,,17 25 18.3,+67 23 26,6.43,0.76,K0   V,Lal 32047,0.534,272,0.0760,5.8,G,17 25 00.0,+67 18 24
25,Omega Draconis,17,38,68,48,68,949,4.9,F5,0.33,0.04,8.0,25.0,*,4036.00,,17 37 32.0,+68 48 15,4.80,0.43,F5   V,OME Dra,0.323,1,0.0425,6.8,F,17 36 57.0,+68 45 29
26,Beta Ophiuchi,17,39,4,37,4,3489,2.9,K,0.16,0.018,9.0,24.0,,4042.00,,17 38 31.8,+04 36 32,2.77,1.16,K2   III,BET Oph,0.165,346,0.0390,2.0,G,17 43 28.3,+04 34 02
27,Xi Draconis,17,52,56,53,56,2033,3.9,K,0.12,0.021,8.0,24.0,,4093.00,,17 51 47.9,+56 53 17,3.75,1.18,K2-  III,XI Dra,0.118,49,0.0298,2.1,G,17 53 31.7,+56 52 21
28,Theta Herculis,17,53,37,16,37,2982,4,K,0.01,-0.005,3.0,9.0,,4096.00,,17 52 49.3,+37 15 49,3.86,1.35,K1   IIaC*,THE Her,0.005,2,-0.0006,5.6,G,17 56 15.1,+37 15 02
29,99 Herculis,18,3,30,33,30,3128,5.2,F8,0.11,0.025,6.0,14.0,,4153.00,,18 03 13.6,+30 32 50,5.04,0.52,F7   V,99 Her,0.116,312,0.0585,3.1,P,18 07 01.5,+30 33 43
30,109 Herculis,18,19,21,43,21,3411,3.9,K,0.31,0.006,6.0,16.0,*,4231.00,,18 19 26.1,+21 43 27,3.84,1.18,K2.5 IIIab,109 Her,0.311,142,0.0248,2.0,G,18 23 41.9,+21 46 11
31,B.D. +6  3855,18,32,6,36,6,3855,5.4,F,0.15,0.019,8.0,20.0,*,4284.00,,18 31 47.1,+06 35 34,5.45,0.37,F3   V,,0.143,190,0.0304,9.3,G,18 36 39.0,+06 40 18
32,Zeta Aquilae,19,1,13,43,13,3899,3,A,0.1,0.036,8.0,22.0,,4436.00,,19 00 48.7,+13 42 52,2.99,0.01,A0   Vn,ZET Aql,0.095,185,0.0392,9.6,G,19 05 24.5,+13 51 48
33,B.D. +16  3752,19,3,16,42,16,3752,6,F,0.34,0.058,6.0,17.0,*,4456.00,,19 03 28.1,+16 42 15,6.07,0.70,G5   V,CI 18-2495,0.310,169,0.0593,8.2,G,19 07 57.3,+16 51 11
34,Delta Aquilae,19,20,2,55,2,3879,3.4,F,0.26,0.062,7.0,18.0,*,4542.00,A,19 20 27.3,+02 54 55,3.36,0.32,F3   IV,DEL Aql,0.268,72,0.0725,5.1,F,19 25 29.9,+03 06 53
35,Zeta Cygni,21,9,29,49,29,4348,3.4,K,0.06,0.014,8.0,21.0,*,5103.00,,21 08 40.7,+29 48 59,3.20,0.99,G8+  III-*,ZET Cyg,0.052,181,0.0244,8.9,G,21 12 56.2,+30 13 36
36,Iota Pegasi,21,17,19,23,19,4691,4.2,K,0.12,0.02,9.0,25.0,*,5345.00,,22 02 21.2,+24 51 23,3.76,0.44,F5   V,IOT Peg,0.300,85,0.0880,5.1,F,22 07 00.6,+25 20 41
37,71 Cygni,21,26,46,6,45,3558,5.3,K,0.12,0.04,8.0,23.0,,5183.00,,21 25 45.4,+46 05 58,5.24,0.97,K0-  III,71 Cyg,0.116,22,0.0240,4.9,G,21 29 26.9,+46 32 26
,,,,,,,,,,,,,,,5187.00,,21 26 06.0,+46 07 00,9.50,,G5,,0.014,135,-0.0030,17.3,,21 29 47.3,+46 33 18
38,Epsilon Pegasi,21,39,9,25,9,4891,2.5,K,0.03,-0.022,9.0,29.0,,5242.00,,21 39 16.4,+09 24 59,2.39,1.53,K2   Ib,EPS Peg,0.030,82,0.0046,8.6,G,21 44 11.1,+09 52 30
39,Xi Cephei (prec),22,1,64,8,63,1802,6.5,,0.23,0.024,9.0,25.0,*,5333.00,A,22 00 53.6,+64 08 25,4.29,0.34,A3m,XI Cep,0.226,67,0.0306,6.4,G,22 03 47.4,+64 37 40
,,,,,,,,,,,,,,*,5333.00,B,22 00 52.5,+64 08 27,6.44,0.54,F3   III/*,,0.204,64,,,,22 03 45.9,+64 37 42
40,Xi Cephei (fol),22,1,64,8,63,1802,4.4,A8,0.23,0.045,12.0,31.0,*,5333.00,A,22 00 53.6,+64 08 25,4.29,0.34,A3m,XI Cep,0.226,67,0.0306,6.4,G,22 03 47.4,+64 37 40
,,,,,,,,,,,,,,*,5333.00,B,22 00 52.5,+64 08 27,6.44,0.54,F3   III/*,,0.204,64,,,,22 03 45.9,+64 37 42
,Mean,,,,,,,,,,0.032,7.0,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
41,Pi Pegasi,22,6,32,41,32,4652,4.4,F5,0.03,0,7.0,24.0,,5364.00,,22 05 32.6,+32 41 14,4.29,0.46,F5   III,PI2 Peg,0.023,223,0.0043,11.0,G,22 09 59.2,+33 10 41
42,Zeta Cephei,22,7,57,42,57,2475,3.6,K,0.03,0.023,9.0,27.0,,5372.00,,22 07 22.9,+57 42 29,3.35,1.57,K1.5 Ib,ZET Cep,0.016,56,0.0147,9.0,G,22 10 51.2,+58 12 04
43,Iota Lacertae,22,12,37,15,37,4526,4.2,K,0.02,0,10.0,20.0,,5393.00,,22 11 36.5,+37 15 01,4.13,1.46,K3-  II-I*,1 Lac,0.017,34,0.0008,8.9,G,22 15 58.2,+37 44 55
