Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
366,22 Andr,0,5.1,45,31,00h10m11.9438s,+46d04m23.477s,45,17,5.1,FO,0.006,0.011,-0.01,0.01,0.025,2.5,14,,20.00,,00 05 07.1,+45 30 56,5.03,F2   II,22 And,0.008,48,-0.0052,15.4,,00 10 19.2,+46 04 19
367,Lal 617,0,23.2,9,39,00h28m09.9926s,+10d12m12.1009s,9,47,6,F2,0.031*,0.031,0.029,7.0,21.0,3.0,17,,76.00,,00 23 09.7,+09 38 32,6.04,F6   Va vw,,0.206,168,0.0329,11.1,,00 28 20.0,+10 11 23
368,Phi Pisc,1,8.3,24,3,01h13m25.7247s,+24d34m49.9085s,23,158,4.6,KO,0.025,-0.032,-0.01,8.0,23.0,2.9,15,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
369,Omega Andr.,1,21.7,44,53,01h26m55.5002s,+45d24m11.5507s,44,307,5,F5,0.346,0.337,0.024,4.0,13.0,3.0,15,,298.00,,01 21 40.1,+44 53 25,4.83,F5   IV,OME And,0.365,106,0.0270,6.3,G,01 27 39.3,+45 24 24
370,Piazzi 145,1,35.7,25,14,01h40m33.7504s,+25d44m24.8766s,25,276,6.3,F5,0.13,0.106,0.009,10.0,24.0,2.5,14,,351.00,,01 35 43.5,+25 14 26,6.17,F2   III,,0.124,106,0.0259,10.1,G,01 41 18.3,+25 44 44
371,Lal 4268,2,12.8,1,17,02h17m09.3454s,+01d44m48.7873s,1,410,5.8,F8,0.371,0.4,0.043,10.0,25.0,2.6,12,,473.00,,02 12 49.6,+01 17 06,5.58,G0.5 IVb,Lal 4268,0.522,44,0.0359,8.7,G,02 18 01.4,+01 45 28
372,Lal 5376,2,49.7,26,28,02h54m53.1559s,+26d52m26.3894s,26,484,7.4,G5,0.258*,0.269,0.056,7.0,20.0,2.8,14,,603.00,M,02 49 43.7,+26 28 20,7.58,K2   d,SIG 326A,0.324,124,0.0393,5.9,F,02 55 39.0,+26 52 23
,,,,,,,,,,,,,,,,,,,,603.00,A,02 49 43.7,+26 28 20,7.62,K2   d,SIG 326A,0.324,124,0.0393,5.9,F,02 55 39.0,+26 52 23
,,,,,,,,,,,,,,,,,,,*,603.00,B,02 49 44.0,+26 28 20,9.80,M0   d,SIG 326B,0.322,125,,,,02 55 39.3,+26 52 23
,,,,,,,,,,,,,,,,,,,*,603.00,C,02 49 44.0,+26 28 20,13.86,,G 036-044,,,,,,02 55 37.3,+26 52 42
373,Mayer 120,3,28.4,17,30,03h33m41.255s,+17d50m14.4368s,17,575,6.4,KO,0.091*,0.083,0.021,8.0,23.0,3.1,15,,743.00,,03 28 26.4,+17 30 17,6.17,K1   IVFe*,,0.326,163,0.0240,12.5,,03 34 08.4,+17 49 57
374,Lal 7036,3,46.4,60,53,03h54m31.146s,+61d10m55.1616s,60,762,7.8,KO,0.418*,0.385,0.048,8.0,20.0,2.7,14,,848.00,,03 46 26.4,+60 52 33,7.84,K0   V,G 246-053,0.506,118,0.0469,8.5,G,03 55 03.8,+61 10 00
,,,,,,,,,,,,,,,,,,,,850.01,,03 46 30.0,+60 52 02,,K0   V,Anonymous,0.018,319,-0.0092,19.9,,03 55 01.1,+61 09 55
375,Omega Sigma 531,4,0.9,37,49,04h06m38.4007s,+38d05m17.0292s,37,878,7.1,G5,0.183,0.2,0.026,7.0,22.0,3.0,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
376,49 Persei,4,1.6,37,28,04h07m37.4726s,+37d44m09.4416s,37,881,6.2,G5,-0.104,-0.105,0.019,7.0,21.0,3.0,15,,910.00,,04 01 38.6,+37 27 53,6.09,K1   III,49 Per,0.218,206,0.0221,11.1,,04 08 15.4,+37 43 38
377,Lal 8248,4,20.1,46,38,04h27m17.0652s,+46d51m38.1884s,46,884,6.7,GO,+ .079*,0.082,0.022,9.0,26.0,3.0,15,*,975.00,,04 20 06.8,+46 38 03,6.73,G3   d,,0.304,163,0.0180,11.8,G,04 27 24.7,+46 51 11
378,Bradley 671,4,52.7,66,41,05h02m06.9188s,+66d50m03.6538s,66,370,6.3,F8,0.075,0.095,0.03,6.0,18.0,3.2,16,,1113.00,,04 52 42.1,+66 40 58,6.19,F6   d,,0.347,167,0.0304,7.2,G,05 02 50.4,+66 49 22
379,Piazzi 294,5,3.3,46,50,05h10m26.3443s,+46d57m41.8259s,46,970,5.6,F5,0.067,0.057,0.024,5.0,13.0,2.9,14,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
380,Lal 11499,5,59.3,14,24,06h04m41.6932s,+14d23m43.8193s,14,1136,6.7,F5,+ .097*,0.101,0.003,8.0,24.0,2.9,15,,1400.00,,05 59 15.9,+14 23 55,6.70,F6   V,,0.213,154,0.0056,12.5,,06 04 58.2,+14 23 17
381,Lal 11774,6,6.6,6,49,06h11m23.3255s,+06d47m43.9493s,6,1155,7.1,GO,+ .180*,0.19,0.017,8.0,20.0,2.6,13,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
382,Lal 13942,7,8.4,47,25,07h15m25.3287s,+47d14m42.9218s,47,1419,5.6,GO,0.041,0.037,0.04,8.0,24.0,3.0,15,,1687.00,,07 08 24.6,+47 25 02,5.58,G0   V,Lal 13942,0.188,170,0.0406,8.8,G,07 15 50.1,+47 14 23
383,Rho Gemi,7,22.7,31,59,07h28m24.8334s,+31d46m51.7492s,32,1562,4.2,FO,0.151,0.158,0.059,9.0,28.0,3.1,16,*,1760.00,A,07 22 40.7,+31 59 00,4.18,F0   V,RHO Gem,0.232,41,0.0597,5.9,G,07 29 06.6,+31 47 04
384,Weisse 1029,7,38.1,39,49,07h44m47.6447s,+39d34m41.7384s,39,1998,6.8,F8,+ .057*,0.02,0.024,6.0,18.0,2.9,15,,1823.00,,07 38 08.3,+39 48 50,6.77,F8   V,,0.692,177,0.0244,7.2,G,07 44 56.1,+39 33 22
385,25 Cancri,8,20.2,17,23,08h25m41.0202s,+17d03m29.9234s,17,1842,6.2,F2,-0.184,-0.188,0.033,8.0,20.0,2.5,14,,1999.00,,08 20 10.2,+17 22 32,6.14,F6   V,25 Cnc,0.246,231,0.0356,12.5,,08 25 49.8,+17 02 46
386,Gr. 1678,10,37.7,46,44,10h42m55.5251s,+46d12m36.4108s,46,1657,5.3,FO,-0.277,-0.267,0.015,6.0,16.0,2.6,14,*,2505.00,,10 37 40.3,+46 43 46,5.18,F5   III,,0.280,255,0.0210,7.7,G,10 43 32.8,+46 12 14
,,,,,,,,,,,,,,,,,,,*,2507.00,,10 38 08.3,+46 43 56,7.32,F9   V,,0.272,258,0.0020,15.0,,10 44 00.6,+46 12 24
