No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
780,38 Ceti,1,9.7,-1,31,01h14m06.49s,-00d59m12.3352s,-1,162.0,5.8,F5,0.218,-0.023,-0.04,0.022,7; 24,11.6,21,*,254.00,,01 09 42.7,-01 30 31,5.70,0.42,F5   V,38 Cet,0.207,356,0.0279,7.7,G,01 14 49.1,-00 58 25
781,Theta Ceti,1,19.0,-8,42,01h24m00.4834s,-08d10m40.857s,-8,244.0,3.8,K0,0.228,-0.077,-95.0,0.031,5; 18,11.9,21,,286.00,,01 19 01.4,-08 41 57,3.60,1.06,K0   III-*,THE Cet,0.231,201,0.0355,2.6,G,01 24 01.3,-08 11 00
782,107 Pisc,1,37.1,19,47,01h42m27.9325s,+20d17m17.7465s,19,279.0,5.3,G5,0.735,-0.292,-0.333,0.125,9; 30,12.1,19,*,356.00,,01 37 03.9,+19 46 57,5.24,0.84,K1   V,107 Psc,0.749,203,0.1326,2.3,G,01 42 29.8,+20 16 05
783,6 Tria,2,6.6,29,29,02h11m48.0665s,+29d57m15.7867s,29,371.0,5.2,G0,0.088,-0.06,-0.091,-0.001,6; 23,11.8,23,,447.00,A,02 06 33.9,+29 50 04,4.94,0.78,"G5+F5III,V",6 Tri,0.086,220,0.0023,9.8,,02 12 22.3,+30 18 10
,,,,,,,,,,,,,,,,,,,,447.00,B,02 06 36.0,+29 50 00,6.60,,F6   V,,,,,,,02 12 24.8,+30 18 13
784,7 Taur,3,28.5,24,7,03h33m55.3795s,+24d27m13.6185s,23,473.0,5.9,A2,0.034,0.02,-0.015,0.002,5; 17,11.2,21,,744.00,A,03 28 31.0,+24 07 44,5.92,0.13,"A3+A3V,V",SIG 412AB,0.024,166,0.0048,6.9,G,03 34 26.5,+24 27 51
785,Lal 11218,5,51.3,15,44,05h56m45.0406s,+15d44m53.5424s,15,993.0,7.9,G0,0.271,0.086,0.08,0.002,6; 22,10.6,20,*,1368.00,,05 51 16.1,+15 44 02,8.21,0.64,G4   d,,0.258,161,0.0049,9.8,,05 57 01.7,+15 44 29
786,Lal 15743,7,58.8,12,34,08h03m32.8395s,+12d17m11.8303s,12,1759.0,7.9,G5,0.141,0.077,0.102,0.043,5; 15,11.2,18,*,1916.00,M,07 58 49.6,+12 34 31,7.78,0.85,K0   V,,0.177,147,0.0329,3.8,G,08 04 23.1,+12 17 22
,,,,,,,,,,,,,,,,,,,*,1916.00,B,07 58 48.0,+12 35 00,8.80,,,,,,,,,08 04 20.8,+12 18 06
,,,,,,,,,,,,,,,,,,,*,1916.00,C,07 58 48.0,+12 35 00,10.40,1.30,G5,Lal 15743C,0.078,98,,,,08 04 21.3,+12 18 05
787,14 Boot,14,9.3,13,26,14h13m50.3824s,+12d57m56.0675s,13,2764.0,5.5,F8,0.264,-0.257,-0.211,0.014,8; 27,10.3,20,,3233.00,,14 09 16.5,+13 25 42,5.54,0.54,F6   IV,14 Boo,0.264,258,0.0155,8.4,F,14 14 05.1,+12 57 34
788,Pi 69,14,18.5,8,54,14h22m55.6615s,+08d26m40.2831s,9,2882.0,5.1,A0,0.069,0.065,-0.022,-0.003,7; 23,11.4,21,,3266.00,A,14 18 27.5,+08 54 06,5.12,-0.02,A0   V,SIG 1835A,0.078,262,0.0114,5.1,G,14 23 22.6,+08 26 48
,,,,,,,,,,,,,,,,,,,,3266.00,B,14 18 30.0,+08 54 00,6.86,0.43,"F0+F2V,V",SIG 1835BC,0.078,262,,,,14 23 25.1,+08 26 42
789,Lal 26635,14,31.7,-3,51,14h36m13.2913s,-04d17m10.9087s,-3,3648.0,7.8,G0,0.348,-0.347,-0.248,0.009,7; 22,10.8,19,*,3303.00,,14 31 42.7,-03 50 38,7.73,0.72,G3   d,,0.347,272,0.0169,8.9,G,14 36 53.7,-04 16 44
790,Lal 29330,16,1.2,10,57,16h05m45.0935s,+10d40m43.4018s,11,2910.0,8.5,G5,0.491,-0.489,-0.482,0.026,7; 21,11,20,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
791,Lal 31822,17,23.0,31,10,17h26m47.6378s,+31d04m54.184s,31,3027.0,8.1,F8,0.32,-0.308,-0.365,0.019,8; 25,10.6,19,*,3962.00,,17 22 56.5,+31 08 33,9.59,0.84,G8   V,CI 18-2326,0.384,281,0.0182,7.4,G,17 26 41.3,+31 03 34
,,,,,,,,,,,,,,,,,,,*,3964.00,,17 22 58.3,+31 09 37,8.50,0.59,G1   V,Lal 31822,0.372,281,0.0142,6.2,G,17 26 43.2,+31 04 38
792,Dpt 1949 m,17,25.2,0,59,17h30m05.2069s,+00d54m17.0815s,0,3300.0,5.3,G5,0.21,-0.121,-0.141,0.052,6; 20,10.7,19,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
793,Lal 33243,18,1.8,15,34,18h05m30.1517s,+15d34m28.4588s,15,3358.0,8.5,K0,0.221,-0.019,-0.024,0.025,7; 17,11.2,19,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
794,Lal 34435,18,28.6,44,57,18h30m54.9156s,+45d01m16.9727s,44,2919.0,8.1,G0,0.36,-0.117,-0.125,0.017,8; 25,12,21,*,4268.00,,18 28 36.0,+44 56 48,8.03,0.52,F8   d,,0.376,199,0.0192,12.5,,18 31 29.9,+45 00 34
795,Beta Scut,18,41.9,-4,51,18h46m18.3998s,-04d44m40.4607s,-4,4582.0,4.5,G0,0.024,-0.007,-0.08,0.011,8; 24,10.8,20,,4332.00,,18 41 52.0,-04 51 17,4.22,1.10,G4   IIa,BET Sct,0.018,205,0.0203,6.1,G,18 47 10.4,-04 44 52
796,Omicron Drac,18,49.7,59,16,18h50m27.3551s,+59d23m11.5855s,59,1925.0,4.8,K0,0.09,0.087,0.081,0.003,4; 13,11.5,20,,4374.00,,18 49 43.4,+59 15 57,4.66,1.19,G9   IIIF*,OMI Dra,0.079,71,0.0039,5.7,G,18 51 12.0,+59 23 17
797,113 Herc,18,50.5,22,32,18h54m13.2005s,+22d39m31.8953s,22,3524.0,4.6,G0.,0.004,0.001,0.006,0.012,8; 25,11.4,19,,4378.00,M,18 50 31.5,+22 31 05,4.59,0.78,"G4+A6III,V",113 Her,0.002,324,0.0119,10.5,G,18 54 44.8,+22 38 41
,,,,,,,,,,,,,,,,,,,,4378.00,A,18 50 31.5,+22 31 05,4.59,0.78,,113 Her,0.002,324,0.0119,10.5,G,18 54 44.8,+22 38 41
798,Theta Lyra,19,12.9,37,57,19h15m28.1981s,+38d07m33.8932s,37,3398.0,4.5,K0,0.008,-0.007,0.013,-0.015,7; 24,9.5,20,,4498.00,,19 12 53.7,+37 57 19,4.36,1.26,K0+  II,THE Lyr,0.007,311,0.0106,6.1,F,19 16 22.0,+38 08 01
799,Zeta Dlph,20,30.6,14,20,20h34m40.1735s,+14d40m36.4724s,14,4353.0,4.7,A2,0.042,0.042,0.046,0.007,5; 17,10.8,17,,4898.00,,20 30 37.9,+14 19 45,4.68,0.11,A3   V,ZET Del,0.050,75,0.0122,8.4,,20 35 18.5,+14 40 27
800,71 Agil,20,33.2,-1,27,20h38m09.7023s,-01d06m01.3054s,-1,4016.0,4.5,K0,0.03,0.015,0.014,-0.004,7; 21,10.6,19,,4908.00,,20 33 10.4,-01 27 16,4.32,0.95,G7.5 IIIa,71 Aql,0.022,120,0.0085,6.8,G,20 38 20.3,-01 06 17
801,Delta Dlph,20,38.8,14,43,20h42m40.1888s,+15d04m30.7848s,14,4403.0,4.5,A5,0.056,-0.019,-0.028,0.003,6; 20,10.2,20,*,4938.00,,20 38 47.3,+14 42 56,4.43,0.32,A7   IIIp*,DEL Del,0.046,207,0.0084,8.2,G,20 43 27.5,+15 04 28
802,30 Vulp,20,40.6,24,55,20h44m19.8194s,+25d16m42.9929s,24,4229.0,5.1,K2,0.186,-0.031,-0.035,0.004,5; 16,11.2,19,,4950.00,,20 40 32.7,+24 54 45,4.91,1.18,K2   III,30 Vul,0.180,190,0.0040,7.3,G,20 44 52.5,+25 16 14
803,77 Cygn,21,38.4,40,38,21h42m01.0835s,+41d05m22.1223s,40,4615.0,5.5,A0,0.019,0.019,-0.037,-0.005,6; 21,9.5,21,,5239.00,,21 38 21.4,+40 37 14,5.69,0.01,A0   V,77 Cyg,0.012,153,0.0000,9.8,,21 42 22.8,+41 04 36
804,11 Ceph,21,40.5,70,51,21h41m24.7625s,+71d18m25.662s,70,1193.0,4.8,K0,0.153,0.12,0.114,0.011,8; 24,10.8,20,,5254.00,,21 40 27.4,+70 51 03,4.56,1.10,K1   III,11 Cep,0.156,49,0.0051,7.5,G,21 41 55.3,+71 18 41
805,34 Pegs,22,21.5,3,53,22h26m03.4369s,+04d23m29.6052s,3,4705.0,5.8,G0,0.298,0.295,0.283,0.039,6; 20,11,20,,5425.00,A,22 21 31.9,+03 53 00,5.75,0.52,F7   V,34 Peg,0.309,79,0.0407,7.4,G,22 26 37.4,+04 23 37
806,64 Pisc,0,43.7,16,24,00h48m15.3034s,+16d56m44.9803s,16,76.0,5.2,F5,0.206,-0.017,0.0,0.042,8; 30,12.4,28,*,159.00,,00 43 43.2,+16 24 02,5.07,0.51,F8   V,64 Psc,0.199,181,0.0455,12.5,,00 48 58.6,+16 56 25
807,Polaris,1,22.6,88,46,02h29m57.3743s,+89d15m29.9335s,88,8.0,2.1,F8,0.043,0.043,0.051,0.001,6; 29,8.6,30,,299.00,,01 22 33.6,+88 46 26,2.02,0.60,F7:  Ib-II,ALP UMi,0.047,88,0.0033,4.0,G,02 31 49.7,+89 15 50
808,A Oe 2618,2,14.0,70,43,02h22m47.0979s,+71d10m30.1241s,70,169.0,8.5,K1,0.63,0.574,0.531,0.027,6; 26,10.8,29,*,475.00,,02 14 02.4,+70 43 24,8.90,0.86,K2   V,CI 16-298,0.559,106,0.0367,6.5,G,02 23 00.6,+71 10 37
809,SU Cass,2,43.0,68,28,02h51m55.848s,+68d52m52.8599s,68,200.0,Var,F5,0.017,0.015,0.005,0.008,5; 20,11.3,28,,572.00,,02 43 02.8,+68 28 26,5.80,0.64,F5:  Ib-II,,0.004,293,0.0088,5.3,G,02 51 58.7,+68 53 18
