TSC Number,Name,BD number,RA1950,Dec1950,Magnitude,Thaw Spec. type,Rel. Para. (mas),Abs-para (mas),Error (mas),No. Obs.,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
2071,13 Ceti,,00 32 07,-03 52,5.8 B,F8 V,56,6,5,143,,97.00,M,00 30 06.0,-04 08 36,5.20,0.56,F8   V,13 Cet,0.411,93,0.0615,4.5,G,00 35 14.9,-03 35 34
,,,,,,,,,,,,97.00,A,00 30 06.0,-04 08 36,5.65,0.57,F8   V,13 Cet,0.411,93,0.0615,4.5,G,00 35 14.9,-03 35 34
,,,,,,,,,,,,97.00,B,00 30 06.0,-04 08 36,6.30,,G0   V,,,,,,,00 35 12.1,-03 35 32
2072,van Maanen 2 (EG5),BD +18 2165,00 46 30.7352,05 09 14.101,12.9 B,,,23,,142,*,160.00,,00 43 54.0,+04 55 00,12.38,0.55,DZ7,van Maanen,2.980,156,0.2325,1.9,G,00 49 11.9,+05 23 11
2073,Ambron 194,,00 45 45.4553,05 01 26.054,6.6 B,,,141,5,142,*,156.00,,00 43 08.1,+04 45 59,5.75,0.88,K2   V,LTT 10285,1.367,146,0.1361,2.0,G,00 48 23.0,+05 16 50
2074,Epsilon 282 A,,02 36 53.0668,65 25 53.826,12.6 B,,,21,7,67,*,528.01,A,02 32 48.0,+65 12 52,12.50,,"G8+G9V,V",SIG 282A,0.129,115,0.0250,5.7,G,02 41 02.1,+65 38 39
,,,,,,,,,,,*,528.01,B,02 32 48.0,+65 12 52,12.60,,,SIG 282B,0.125,115,,,,02 41 02.0,+65 38 39
2075,Epsilon 282 B,,02 36 54.0696,65 25 50.996,12.5 B,,,29,7,67,*,528.01,A,02 32 48.0,+65 12 52,12.50,,"G8+G9V,V",SIG 282A,0.129,115,0.0250,5.7,G,02 41 02.1,+65 38 39
,,,,,,,,,,,*,528.01,B,02 32 48.0,+65 12 52,12.60,,,SIG 282B,0.125,115,,,,02 41 02.0,+65 38 39
2076,45 Tauri,BD +05 601,04 08 40.4670,05 23 39.830,6.0 B,F4 V,,32,8,73,*,922.01,,04 06 00.7,+05 15 46,5.72,0.36,F4   V,45 Tau,0.146,87,0.0320,8.9,,04 11 20.2,+05 31 22
