Entry Number,Field Name,Magnitude,RA,Dec,Equinox,TSC No.,TSC Name,RA1950,Dec1950
0,Lal_47148,7.7,00 00 14,+01 51 _,1950,,,,
1,Lal_5573,5.1,00 00 43,+56 30 _,1950,,,,
2,Hu_60,8.5,00 01 _,+39 30 00,_,,,,
3,3_Ceti,5.2,00 02 _,-10 52 _,_,,,,
4,Sigma_3062,6.9,00 03 38,+58 09 _,1950,,,,
5,Sigma_3060,8.5,00 03 22,+17 48 _,1950,,,,
6,Grb_4220,5.8,00 02 05,+66 53 _,1950,,,,
7,Ambr_7793,6.4,00 02 16,+34 23 _,1950,,,,
8,Sigma_3057,7.2,00 02 19,58 15 13,1950,,,,
9,Porter_1,8.2,00 02 47,+08 31 _,1950,,,,
10,33_Tiscium,4.7,00 03 _,-6 00 _,_,,,,
11,Bradley_3212,6.2,00 04 01,+28 45 _,1950,,,,
12,Hu_502,7.5,00 04 _,+49 04 _,_,,,,
13,beta_Cass,2.4,00 06 29,+58 59 _,1950,,,,
14,alpha_Andr,2.2,00 05 48,+28 49 _,1950,,,,
15,G130-43,15.7,00 06 _,+29 6 00,_,,,,
16,WB23_1377,6.1,00 06 06,+36 21 _,1950,,,,
17,G158-27,13.8,00 06 43,-07 32 42,2000,,,,
18,5_Ceti,6.3,00 06 _,-2 42 00,_,,,,
19,22_Andr,5.1,00 07 43,+45 48 _,1950,,,,
20,G30-48,14.4,00 08 _,+8 48 00,_,,,,
21,G130-50,15.3,00 08 _,+31 0 00,_,,,,
22,LD5,12.4,00 08 42,-21 00 _,1950,,,,
23,Porter_13,"8,7",00 08 46,+30 10 16,1950,,,,
24,23_Andr,5.7,00 10 55,+40 45 34,1950,,,,
25,W_1,15.3,00 11 06,+00 03 00,1950,,,,
26,beta_486,5.4,00 11 54,-08 03 31,1950,,,,
27,chi_Pegasi,4.9,00 12 01,+19 55 43,1950,,,,
,,,,,,,,,
29,Sigma_16,7.7,00 14 01,+54 22 58,1950,,,,
,,,,,,,,,
31,Omicron_Sigma_4,"8.1,8.8",00 14 12,+36 13 00,1950,,,,
32,theta_Andr,4.4,00 14 28,+38 24 15,1950,,,,
33,Grb_34*,8.1,00 15 31,+43 44 22,1950,,,,
34,sigma_Andr.,4.5,00 15 43,+36 30 30,1950,,,,
35,Lal_305,6.5,00 16 07,-08 19 43,1950,,,,
36,8_Ceti,3.8,00 17 _,-9 6 00,_,,,,
37,Feige_4,14.1,00 19 59,+13 52 36,2000,,,,
38,Groombridge_34A,8.08,00 18 23,+44 01 24,2000,,,,
39,Groombridge_34B,11.04,00 18 23,+44 01 24,2000,,,,
40,27_Andr.,5.2,00 18 29,+37 41 31,1950,,,,
41,Lal_424,7.6,00 20 23,+22 06 04,1950,,,,
42,G_130-65,12.5,00 21 _,+23 42 00,_,,,,
43,9_Ceti,6.4,00 21 _,-12 24 00,_,,,,
44,12_Cass,5.4,00 22 01,+61 33 15,1950,,,,
45,L795-13,13.0,00 23 00,-10 35 _,1950,,,,
46,47_Tiscium,5.3,00 25 26,+17 36 59,1950,,,,
47,Lal_595,5.2,00 25 32,+44 07 06,1950,,,,
48,Lal_617,6.3,00 25 45,+09 54 58,1950,,,,
49,G31-52,13.0,00 26. _,-6 36 00,_,,,,
50,28_Andr.,5.3,00 27 29,+29 28 34,1950,,,,
51,Brad_34,6.4,00 28 _,+76 45 _,_,,,,
52,28_Andr,5.3,00 27 29,+29 28 34,1950,,,,
53,Brad_34,6.4,00 28 _,+76 45 _,_,,,,
54,Sigma_33,"8.2,8.3",00 28 18,33 49 20,1950,,,,
55,HD_2665,7.9,00 29 _,+56 54 00,1975,,,,
56,Vys_2,"9,12",00 29 00,+66 58 _,1950,,,,
57,66_34,"10.4,12.3",00 29 25,+66 57 42,1950,,,,
58,52_Pisc,5.5,00 29 58,+20 01 09,1950,,,,
59,BD_+57_70,7.2,00 30 48,+57 05 05,2000,,,,
60,BD_+54_88,6.8,00 31 04,+55 42 34,2000,,,,
61,13_Ceti,5.2,00 32 40,-03 52 04,1950,,,,
62,D'Ag_90,6.4,00 33 19,+12 46 03,1950,,,,
63,Sigma_42,"7.9,8.7",00 33 22,+29 43 25,1950,,,,
64,14_ceti,5.9,00 32 58,-00 46 48,1950,,,,
65,L_1011-71,15.2,00 34 _,+1 42 00,_,,,,
66,Lal_909,5.4,00 34 03,+44 12 47,1950,,,,
67,5_Cass,3.7,00 34 10,+53 37 19,1950,,,,
68,delta_Andr.,3.5,00 36 39,+30 35 15,1950,,,,
69,55_Piscium,"5.5,8.2",00 37 17,+21 09 51,1950,,,,
70,alpha_Cass,2.5,00 37 39,+56 15 49,1950,,,,
71,Lal_1045,7.5,00 38 04,+39 55 20,1950,,,,
72,Porter_51,7.0,00 36 _,+39 45 _,_,,,,
73,32_Andr,5.4,00 38 24,+39 11 04,1950,,,,
74,Omicron_Sigma_18,7.4,00 30 49,+03 53 35,1950,,,,
75,pi_Cass,5.0,00 40 41,+46 45 05,1950,,,,
76,Sigma_53,9.0,00 40 51,-01 09 55,1950,,,,
77,L795-7,15.0,00 42 00,-10 10 00,1950,,,,
78,17_Ceti,4.9,00 42 _,-11 00 00,_,,,,
