Thaw Number,YPC Number,YPC Component,Thaw Name,YPC Name,BD Number,Thaw RA1900,Thaw Dec1900,YPC RA1900,YPC Dec1900,RA1950,Dec1950,RA2000,Dec2000,Thaw B,YPC (B-V),YPC V,Thaw Spectrum,YPC Spectrum,Thaw Rel. Parallax,Thaw Rel. Parallax Error,Delta Pi,Thaw Abs. Parallax,Yale Abs. Parallax,Yale Abs. Parallax Error,Yale Tot. PM,Yale PM Position Angle,No. of Thaw Observations,Thaw Footnotes,Index Card Match Entry,Index Card Field Name,Index Card Mag.,Index Card RA,Index Card Dec,Index Card Equinox,Observations
1,51.0,,Sigma Andromedae,SIG And,+35 44,00 13 00.00,+36 14 00.00,00 13 06.0,+36 13 51,00 15 42.761,+36 30 31.4322,00 18 19.7,+36 47 07,4.5,4.52,0.05,A2,A2   V,12,8,,,19,12.5,0.074,240,18,,34,sigma_Andr.,4.5,00 15 43.00,+36 30 30.0,1950,"['821 _ 19141128', '831 _ 19141212', '862 _ 19141216', '912 _ 19141222', '2759 _ 19150804', '2779 _ 19150807', '2798 _ 19150808', '2819 _ 19150809', '2845 _ 19150812', '4313 _ 19151215', '4325 _ 19151221', '6179 _ 19160725', '6213 _ 19160727', '6258 _ 19160729', '6336 _ 19160809', '8198 _ 19161206', '8248 _ 19161210', '8282 _ 19161222']"
2,158.0,,Delta Piscium,DEL Psc,+6 107,00 43 00.00,+7 02 00.00,00 43 29.5,+07 02 27,00 46 04.803,+07 18 50.3317,00 48 40.9,+07 35 06,4.5,4.43,1.5,K5,K4   IIIb,12,7,,,17,9.4,0.095,119,19,,84,delta_Piscium,4.6,00 46 05.00,+07 18 48.0,1950,"['378 _ 19141022 (-9)', '832 _ 19141212 (+10)', '864 _ 19141216 (-34)', '913 _ 19141222 (-36)', '2848 _ 19140812 (-15)', '2878 _ 19140813 (-8)', '2905 _ 19140815 (-12)', '2943 _ 19140817 (-8)', '4464 _ 19160108 (+8,fog)', '6341 _ 19160809 (-4)', '6362 _ 19160810 (-7)', '6382 _ 19160813 (-12)', '6448 _ 19160816 (-16)', '8287 _ 19161227 (+1)', '8317 vw 19161223 (+12)', '8392 _ 19161231 (-12)', '8413 _ 19170102 (+11)', '69511 g 19451013', '69541 g 19451016']"
3,209.0,,Epsilon Piscium,EPS Psc,+7 153,00 58 00.00,+7 21 00.00,00 57 45.0,+07 21 06,01 00 20.907,+07 37 15.3213,01 02 56.5,+07 53 24,4.5,4.28,0.96,G5,K0   III,23,8,,,26,6.5,0.085,289,19,,119,epsilon_Piscium,4.4,01 00 _,+07 37 _,1950,"['567 _ 19141104 (+10)', '930 _ 19141226 (-16)', '947 _ 19141227 (+7)', '964 _ 19141228 (-14)', '2763 _ 19150804 (-3)', '2781 _ 19150807 (+14)', '2802 _ 19150808 (0)', '2977 _ 19150819 (-17)', '2988 _ 19150822 (-13)', '3003 _ 19150823 (-19)', '6344 _ 19160809 (-2)', '6396 _ 19160813 (0)', '6501 _ 19160820 (-7)', '6561 _ 19160823 (-14)', '8289 _ 19161222 (+3)', '8318 f 19161223 (+8)', '8342 _ 19161225 (+5)', '8375 f 19161228 (-5)', '8429 _ 19170106 (+5)']"
4,219.0,A,Mu Cassiopeiae,MU Cas,+54 223,01 02 00.00,+54 26 00.00,01 01 36.7,+54 25 47,01 04 35.902,+54 41 51.6498,01 08 16.2,+54 55 11,5.3,5.17,0.69,G5,G5   Vb,143,9,,,133,1.7,3.77,115,31,,,,5.12,01 08 17.00,+54 55 18.0,2000,"['46509 g 19320809', '46523 g 19320811', '46548 g 19320814', '47140 g 19321128', '47173 k 19321129', '47314 g 19321220', '48699 k 19330823', '48705 k 19330825', '48733 k 19330828', '49454 g 19331205', '49495 p 19331223', '51611 g 19350104', '52518 k 19350812', '52616 g 19350829', '54689 k 19361207', '54701 g 19361213', '55476 g 19370821', '55489 g 19370828', '56046 g 19380103', '56077 k 19380109', '57000 g 19380815', '57048 k 19380820', '57633 g 19381207', '58521 g 19390811', '57596 g 19390821', '59420 g 19400108', '60272 g 19400904', '60787 k 19401203', '60900 g 19410107', '62218 g 19410824', '62225 g 19410827']"
5,368.0,,Omicron  Piscium,OMI Psc,+8 273,01 40 00.00,+8 39 00.00,01 40 06.6,+08 39 16,01 42 44.689,+08 54 21.8334,01 45 23.6,+09 09 28,4.5,4.26,0.96,G5,G8   III,12,6,,,21,7.7,0.089,53,3,,183,o_Piscium,4.5,01 42 45.00,+08 54 25.0,1950,"['111027 g 19830802', '111191 _ 19840728', '111195 _ 19840725']"
6,394.0,,Beta Arietis,BET Ari,+20 306,01 49 00.00,+20 19 00.00,01 49 06.8,+20 19 09,01 51 52.018,+20 33 57.1538,01 54 38.4,+20 48 28,2.7,2.64,0.13,A5,A5   V,72,8,,,67,7.8,0.144,138,36,,197,beta_Arietis,2.7,01 51 52.00,+20 33 52.0,1950,"['10287 f 19170912 (+11)', '13962 k 19180815', '14095 k 19180903', '15047 k 19181217', '15092 f 19181218', '15330 f 19190111', '15358 p 19190112', '17874 k 19190827', '17977 5g 19190903', '19198 k 19191223', '19238 p 19200102', '19309 2k 19200111', '19321 k 19200112', '21274 2k 19200820', '21314 k 19200824', '22728 4k 19201228', '22801 4k 19210104', '22805 k 19210106', '24971 k 19210821', '24994 k 19210822', '25012 g 19210823', '26100 k 19211229', '26420 g 19220110', '26244 k 19220115', '26268 g 19220116', '28087 k 19220814', '28115 k 19220817', '27131 k 19220819', '31972 4g 19240114', '32013 k 19240121', '32071 g 19240127', '33225 g 19240812', '33287 k 19240827', '33306 4k 19240828', '51465 _ 19341114', '101461-2 f 19671219']"
7,567.0,,39 Arietis,39 Ari,+28 462,02 42 00.00,+28 50 00.00,02 41 57.0,+28 49 55,02 44 54.840,+29 02 33.1509,02 47 54.5,+29 14 49,4.6,4.51,1.11,K,K1.5 III,22,6,,,20,1.9,0.207,130,31,,268,39_Arietis,4.6,02 44 30.00,+29 02 18.0,1950,"['21518 g 19200913 _', '21543 k 19200914 _', '21582 k 19200916 _', '22870 g 19210110 _', '22926 k 19210125 _', '25053 g 19210825 _', '25143 g 19210830 _', '25154 g 19210831 _', '26135 g 19220106 _', '26200 g 19220109 _', '26440 2g 19220127 _', '26517 g 19220131 _', '28225 k 19220831 _', '28294 k 19220908 _', '28326 k 19220910 _', '29425 g 19230113 _', '31975 g 19240114 _', '32010 g 19240118 _', '33337 g 19240902 _', '33962 g 19250114 _', '34025 k 19250130 _', '34046 f 19250202 fog', '35297 g 19250826 _', '35322 g 19250901 _', '35984 k 19260123 _', '36890 g 19260829 _', '37411 g 19270117 fog', '37431 g 19270130 _', '38353 g 19270902 _', '38363 p 19270903 _', '38368 g 19270904 _']"
8,897.0,A,37 Tauri,37 Tau,+21 585,03 59 00.00,+21 49 00.00,03 58 46.8,+21 48 31,04 01 43.724,+21 56 51.2328,04 04 41.7,+22 04 54,4.5,4.36,1.07,K,K0+  III-*,-22,9,,,12,5.7,0.107,122,38,,368,37_Tauri,4.5,04 01 44.00,+21 56 49.0,1950,"['74089 f 19480926 _', '75807 g 19490926 _', '75878 g 19491001 _', '76062 4g 19491016 _', '76122 4g 19491020 _', '76539 g 19500116 _', '76630 f 19500207 _', '76653 g 19500211 _', '78069 g 19501016 _', '78517 k 19510127 _', '78536 g 19510210 _', '79861 2p 19510930 _', '79910 g 19511004 _', '80351 p 19520215 _', '81732 f 19521001 _', '83044 g 19530929 _', '83200 p 19531012 _', '83220 4k 19531013 _', '83887 f 19540128 _', '85008 g 19541021 _', '85361 k 19550111 _', '85407 f 19550127 _', '87023 g 19551011 _', '87146 g 19551027 _', '88679 g 19561013 _', '90973 4k 19580915 _', '92245 g 19600129 _', '93426 4g 19610214 _', '96899-0 2g,2p 19631001 _', '97095-6 g 19631015 _', '98469-0 f 19650204 _', '98477-8 g 19650215 _', '99016-7 g 19650920 _', '99141-2 k,2f 19650930 _', '107158 g 19730919 _', '107189 ~ 19731005 _', '107197 g 19731011 _', '107506 k 19740130 _']"
,897.0,B,,,,,,03 58 45.3,+21 46 16,04 01 42.178,+21 54 36.329,04 04 39.4,+22 02 43,,10.4,--,,G,,,,,,,0.02,172,38,,368,37_Tauri,4.5,04 01 44.00,+21 56 49.0,1950,"['74089 f 19480926 _', '75807 g 19490926 _', '75878 g 19491001 _', '76062 4g 19491016 _', '76122 4g 19491020 _', '76539 g 19500116 _', '76630 f 19500207 _', '76653 g 19500211 _', '78069 g 19501016 _', '78517 k 19510127 _', '78536 g 19510210 _', '79861 2p 19510930 _', '79910 g 19511004 _', '80351 p 19520215 _', '81732 f 19521001 _', '83044 g 19530929 _', '83200 p 19531012 _', '83220 4k 19531013 _', '83887 f 19540128 _', '85008 g 19541021 _', '85361 k 19550111 _', '85407 f 19550127 _', '87023 g 19551011 _', '87146 g 19551027 _', '88679 g 19561013 _', '90973 4k 19580915 _', '92245 g 19600129 _', '93426 4g 19610214 _', '96899-0 2g,2p 19631001 _', '97095-6 g 19631015 _', '98469-0 f 19650204 _', '98477-8 g 19650215 _', '99016-7 g 19650920 _', '99141-2 k,2f 19650930 _', '107158 g 19730919 _', '107189 ~ 19731005 _', '107197 g 19731011 _', '107506 k 19740130 _']"
9,911.0,,50 Persei,50 Per,+37 882,04 02 00.00,+37 47 00.00,04 01 56.5,+37 46 41,04 05 15.538,+37 54 48.4982,04 08 36.6,+38 02 23,5.6,5.51,0.46,F,F7   V,43,8,,,47,12.5,0.261,140,29,,370,Omicron_Sigma_531,6.5,04 04 13.00,+37 56 36.0,1950,"['18296 p 19190926 _', '18325 k 19190927 _', '18345 k 19190928 _', '19346 k 19200125 _', '19410 f 19200129 _', '19434 k 19200130 _', '19454 g 19200201 _', '21508 k 19200912 _', '21591 k 19200916 _', '21662 g 19200920 _', '21813 f 19201002 _', '22970 g 19210127 _', '23030 k 19210208 _', '23126 k 19210218 _', '25246 g 19210912 _', '25268 k 19210913 _', '25350 g 19210923 _', '26329 k 19220123 _', '26420 g 19220126 _', '26506 k 19220130 _', '28317 k 19220909 _', '28334 g 19220910 _', '28379 k 19220914 _', '34170 g 19250215 _', '34191 g 19250217 _', '34025 g 19250218 _', '35372 g 19250910 _', '35399 g 19250918 _', '35409 g 19250919 _']"
