Name,BD number,RA1950,Dec1950,Magnitude,Thaw Spec. type,Rel. Para. (mas),Abs-para (mas),Error (mas),No. Obs.
13 Ceti,,00 32 07, -03 52,5.8 B,F8 V,56,6,5,143
van Maanen 2 (EG5),BD +18 2165,00 46 30.7352,05 09 14.101,12.9 B,,,23,,142
Ambron 194,,00 45 45.4553,05 01 26.054,6.6 B,,,141,5,142
Epsilon 282 A,,02 36 53.0668,65 25 53.826,12.6 B,,,21,7,67
Epsilon 282 B,,02 36 54.0696,65 25 50.996,12.5 B,,,29,7,67
45 Tauri,BD +05 601,04 08 40.4670,05 23 39.830,6.0 B,F4 V,,32,8,73
307,,04 34 43.7036,15 49 00.587,12.7 B,,,11,3,80
91 Tauri,BD +15 665,04 36 17.7036,15 42 10.959,5.2 B,,,18,7,80
92 Tauri,BD +15 666,04 36 24.6877,15 49 14.088,4.9 B,,,16,5,80
97 Tauri,BD +18 743,04 48 26.7563,18 45 23.417,5.3 B,"A5 V, A9 III, F0 IV",,20,7,48
521,,04 59 05.8228,21 40 28.027,12.2 B,,,14,3,93
102 Iota Tauri,BD +21 751,05 00 06.2230,21 31 13.240,4.9 B,A7 V,,20,4,93
Sirius,BD -16 1591,06 42 56.7218, -16 38 46.307, -1.6 B,A1,,377,3,200
Wolf 294,,06 51 35.38994,33 20 14.8940,11.5 B,,,1806,33,141
606,,06 51 58.79526,33 30 14.4527,12.2 B,,,179,44,141
9 Puppis,BD -13 2267,07 49 27.3080, -13 45 50.600,5.8 B,,,608,44,73
BD +75 325,BD +75 325,08 04 43.4869,75 06 47.500,12.8b,G1 V,,6,6,38
18 Puppis,BD -13 2420,08 08 20.7514, -13 39 3.560,6.0 B,F7,,47,5,51
BD +66 550,BD +66 550,08 21 01.9360,66 37 55.801,12.2 B,,,35,7,49
BD +44 1847,BD +44 1847,09 11 51.0975,44 15 42.999,9.7 B,,,34,7,89
Lalande 20111,BD +16 2116,10 20 03.2064,15 35 55.361,7.8 B,G5,,40,7,59
85,,10 24 37.5537, -06 17 03.704,12.6 B,,,24,6,46
BD -5 3071,BD -05 3071,10 25 42.6880, -06 20 27.530,8.7 B,K0 V,,25,7,46
Lalande 21185,BD +36 2147,11 00 36.5936,36 18 19.723,8.9 B,M2 V,,398,4,143
615,,13 03 11.1850,21 23 13.4843,12.7 B,,,237,40,74
39 Comae Berenices,BD +21 2487,13 03 54.94668,21 25 16.8390,6.4 B,F4 V,,297,44,74
18 Bootis,BD +13 2783,14 16 50.9834,13 14 02.672,5.8 B,"F2 V, F5 IV-V",,40,9,62
Lalande 26325,BD +08 2858,14 21 50.5425,08 18 42.675,7.4 B,K4,,15,8,54
HD 134440,BD -15 4041,15 07 28.3030, -16 13 28.836,10.3 B,K0  VI,,42,6,38
HD 134439,BD -15 4042,15 07 28.4959, -16 08 28.061,9.9 B,K2 VI,,32,6,
G137-8,,15 25 59.2567,16 53 34.643,14.7 B,,,11,9,39
Case 2,,16 06 42.24609,42 13 30.0851,13.6 B,,,186,109,55
Kuiper 84,BD +04 3562,17 55 56.062,4 27 55.98,7.0 V,K5,,22,3,596
649,,18 34 15.53827,38 15 15.5578,12.3 B,,,128,33,283
Vega,BD +38 3238,18 35 14.69071,38 44 09.7266,0.03 B,,,1243,49,283
Ross 142,,18 47 31.1582,03 02 05.722,12.1 B,,,55,13,35
Ross 730,,19 04 57.8906,20 48 49.565,10.76 B,M2,,110,6,228
Ross 731,,19 05 05.5205,20 48 08.489,10.77 B,M2,,108,6,228
HD 187399,BD +29 3754,19 46 41.5632,29 16 34.415,7.4 B,A0,,-1,5,58
Altair,DB +08 4236,19 48 20.5900,08 44 05.7200,0.8 B,,,1905,32,443
31 Omicron 2 Cygni,BD +46 2882 ,20 12 03.3412,46 35 19.879,4.8 B,"K4 Ib, B4 V",,5,3,419
380,,20 10 14.2649,46 49 28.410,10.5 B,,,19,2,419
388,,20 10 59.3120,46 16 10.449,10.1 B,,,14,2,419
399,,20 13 31.1277,46 47 45.208,9.8 B,,,9,2,419
405,,20 13 51.0860,46 51 01.657,10.4 B,,,7,1,419
BD +39 4400,BD +39 4400,20 58 00.53061,40 03 35.7717,6.4 B,,,200,52,80
Gliese 815,,20 58 8.64482,39 52 40.2102,11.6 B,,,692,29,332
Chi Draconis,BD +72 839,21 57.4538,42 42.052,11.9 B,F7 V,,1266,55,132
BD +17 4946,BD +17 4946,23 33 32.2646,18 09 47.362,8.3 B,G5 V,,18,5,88
